STRATHPEFFER STATION,,,,,,,,,,
Grid ref,NH 48585 58405,Long,-4.534682,Lat,57.590204,Elevation,150,ft,,
Station no,RR8776,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,4.62,3.83,3.59,2.08,3.7,4.37
February,,,,,8.3,1.13,1.75,2.92,6.39,1.43
March,,,,,3.62,3.69,4.02,2.82,2.14,2.79
April,,,,,0.59,1.65,1.92,1.67,2.63,4.31
May,,,,,3.16,1.56,0.81,2.39,2.52,1.72
June,,,,,1.78,4.09,3.41,2.01,1.77,0.96
July,,,,,4.61,3.27,3.25,2.29,1.42,2.36
August,,,,,3.28,4.21,1.85,2.64,2.61,0.94
September,,,,,0.09,2.11,4.28,2.56,3.19,6.16
October,,,,,1.66,3.72,4.53,2.81,2.46,
November,,,,5.14,1.17,3.25,0.98,2.54,4.16,
December,,,,4.87,5.03,5.18,3.73,4.34,7.67,
Total,,,,,37.91,37.69,34.12,31.07,40.66,
,,,,,,,,,,
Station no,RR8776,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
