"MONTGREENAN GARDENS",,,,,,,,,,,,
Grid ref,NS344443,Long,-4.634238,Lat,55.663893,,,,,,,
Station no,5234/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.59,4.91,3.27,5.25,3.12,3.22,4.34,5.19,1.72,4.15,,
February,3.01,2.01,2.10,3.71,2.56,1.77,2.54,4.00,2.42,3.66,,
March,3.50,2.84,0.98,3.15,1.46,2.96,5.30,1.21,2.60,2.59,,
April,2.72,2.12,1.71,1.40,3.66,1.15,2.87,1.69,2.96,3.80,,
May,2.38,1.34,1.83,2.64,4.34,1.81,2.75,3.60,1.33,1.87,,
June,2.46,3.44,1.65,4.31,3.39,2.17,3.03,2.54,3.53,2.70,,
July,3.07,3.74,6.14,4.75,1.43,4.81,5.07,5.71,6.48,4.81,,
August,4.78,5.26,3.37,6.46,1.30,6.30,4.45,4.46,0.99,3.41,,
September,3.65,2.90,5.86,6.73,4.70,4.43,4.37,5.19,1.78,4.28,,
October,1.23,4.94,3.66,10.32,3.05,3.03,6.64,4.38,6.50,2.69,,
November,5.70,3.17,8.38,6.67,2.53,2.08,2.51,2.08,4.82,5.49,,
December,7.25,5.34,5.56,6.29,7.36,5.56,4.57,5.63,6.77,6.26,,
Total,45.34,42.01,44.51,61.68,38.90,39.29,48.44,45.68,41.90,45.71,,
Calc annual,45.34,42.01,44.51,61.68,38.90,39.29,48.44,45.68,41.90,45.71,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
