WOLVERHAMPTON-THORGANBY-VILLA,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ881006,Long,-2.1771408,Lat,52.603053,Elevation,459,ft.,,,,,,,,,,,,
Station no,RR8051,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.57,1.4,3.45,1.88,1.82,0.56,0.54,2.39,,,,,,,
February,,,,,,1.36,2.67,2.02,0.97,2.54,2.49,1.89,2.73,,,,,,,
March,,,,,,0.8,1.86,2.27,0.9,0.55,0.68,2.76,1.91,,,,,,,
April,,,,,,0.74,2.91,2.14,2.27,2.84,1.67,0.73,3.1,,,,,,,
May,,,,,,1.56,0.83,1.66,5.57,2.74,2.05,1.5,3.31,,,,,,,
June,,,,,,3.05,3.05,1.86,3.85,4.28,5.6,2.43,6.89,,,,,,,
July,,,,,,7.68,2.4,4.32,0.58,4.69,5.46,1.9,3.22,,,,,,,
August,,,,,,3.11,2.28,3.52,6.46,5.31,0.68,4.59,1.5,,,,,,,
September,,,,,,4.75,4.54,2.25,2.46,2.89,3.94,1.91,2.83,,,,,,,
October,,,,,,6.34,1.96,1.89,3.2,1.06,5.27,2.61,4.86,,,,,,,
November,,,,,,3.56,3.83,2.66,3.08,1.05,1.95,2.46,4.05,,,,,,,
December,,,,,,1.4,4.62,1.53,1.89,0.67,3.19,2.5,4.06,,,,,,,
Total,,,,,,36.92,32.35,29.57,33.11,30.44,33.54,25.82,40.85,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the stated altitude and distance from the church and assumes the gauge is NW of church and the church is not NW of the gauge; the latter gives an altitude 60 ft. or so too low.,,,,,,,,,,,,,,,,,,,,
