KIRBYMOORSIDE - WELBURN,,,,,,,,,,
Grid ref,SE681846,Long,-0.956,Lat,54.253,Elevation,135,ft,,
Station no,3461/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.78
February,,,,,,,,,,2.55
March,,,,,,,,,,1.36
April,,,,,,,,,,1.14
May,,,,,,,,,,1.77
June,,,,,,,,,,0.58
July,,,,,,,,,,4.97
August,,,,,,,,,,2.98
September,,,,,,,,,,2.73
October,,,,,,,,,,6.68
November,,,,,,,,,,3.96
December,,,,,,,,,3.97,3.28
Total,,,,,,,,,,36.78
,,,,,,,,,,
TYRain_1951-1960_22_pt1/019,,,,,,,,,,
,,,,,,,,,,
# The station continued until 1983 according to MIDAS. (MIDAS src_id = 2470),,,,,,,,,,
