VALLEY OF NORTH TYNE (Newcastle and Gateshead Water Works),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY9230872890,Long,-2.121929,Lat,55.050445,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.71,4.03,1.41,1.09,3.89,2.86,2.72,1.31,2.53,1.9,3.07,1.72,2.39,5.11,1.21,3.48,4.04,0.65,0.9,0.3,1.77,3.54,5.35,1.74,5.61,1.07,1.1,0.6,2.5,1.3,1.27,1.02,2.54,4.4,1.56,1.2,1.38,3.97,3.18,2.47,1.47,,,,,,,
February,,,1.71,2.45,1.62,1.26,3.02,2.59,4.19,4.21,1.06,1.61,2.57,0.66,1.04,1.61,1.91,3.74,1.55,2.29,1.04,3.02,1.99,1,1.49,0.92,1.29,0.59,1.22,1.21,1.45,0.17,2.55,5.08,5.31,0.85,0.64,2.53,1.87,1.28,4.19,1.51,1.36,,,,,,,
March,,,3.22,1.93,3.02,1.46,2.51,0.55,3.14,1.34,1.94,1.24,3.04,1.89,1.33,0.56,3.6,3.77,0.69,2.75,2.48,3.82,1.42,1.04,1.44,1.31,2.28,1.41,3.39,2.02,1.74,2.91,0.98,0.23,2.01,2.95,3.65,4.49,2.28,1.56,1.21,2.32,1.68,,,,,,,
April,,,2.03,2.62,1.47,1.07,2.14,5.1,3.6,2.38,1.07,3.31,1.8,0.5,2.29,0.71,2.29,2.2,2.11,1.25,2.12,1.65,2.06,1.06,1.31,1.73,2.37,1.2,1.6,3.33,0.83,1.06,1.15,0.61,1.19,1.2,1.48,1.37,2.13,2.87,2.02,0.97,1.29,,,,,,,
May,,,1.52,1.22,1.55,3.26,1.87,2.1,0.95,2.57,1.05,0.75,2.4,1.36,0.76,0.48,1.79,3.51,4.93,2.08,1.15,2.46,0.49,1.49,2.27,2.7,3.29,1.28,0.71,1.68,1.67,1.23,1.28,2.28,2.74,0.9,0.93,0.8,1.83,3.26,1.76,1.78,2.17,,,,,,,
June,,,3.16,3.96,2.27,0.47,1.89,1.2,0.81,1.23,1.84,2.38,2.54,2.18,1.11,1.25,4.01,1.53,1.9,4.92,1.73,1.63,2.73,1.5,0.57,0.89,2.63,0.29,2.23,0.8,1.92,1.83,2.88,1.7,3.91,1.05,1.97,3.7,1.69,0.91,3.71,1.58,1.72,,,,,,,
July,,,2.2,1.25,0.41,2.42,0.9,3.05,0.33,0.48,1.25,3.1,5.43,2.42,2.39,4.78,1.04,3.25,0.71,4.16,3.85,3.91,4.03,4.73,4.14,1.02,3.99,1.04,4.53,3.31,4.09,4,1.73,2.52,3.67,5.3,2.85,1.54,0.93,2.69,1.63,2.04,2.78,,,,,,,
August,,,3.48,2.38,0.65,2.74,4.1,3.2,1.5,1.79,2.11,4,3.58,2.68,2.36,1.76,1.19,5.74,3.43,3.12,1.98,5.86,3.45,2.62,1.02,3.56,2.33,2.64,2.15,3.12,5.86,5.5,4.72,2.98,3.42,3.52,1.65,3.36,3.46,0.5,3.66,2.24,1.78,,,,,,,
September,,,1.42,3.26,2.41,0.73,4.53,2.05,1.76,5.54,1.38,3.07,3.6,3.33,3.41,2.54,3.94,3.07,2.15,1.94,4.18,3.29,1.4,3.56,1.75,2.03,2.58,4.62,0.92,1.07,1.14,2.86,3.37,2.53,0.74,0.68,3.83,3.04,0.9,2.48,1.78,1.13,1.27,,,,,,,
October,,,3.23,5.95,4.68,6.09,1.1,1.38,5.2,1.68,4.36,2.67,6.51,2.86,2.75,2.97,2.67,1.95,3.07,1.59,3.08,3.62,3.12,3.46,1.72,2.56,5.19,1.62,1.14,4.25,2.45,1.7,4.2,1.36,3.55,3.98,4.7,1.3,5.28,1.8,5.16,2.75,2.46,,,,,,,
November,,,1.72,2.23,1.21,2.84,4.91,0.38,1.66,3.32,1.19,1.8,3.3,1.34,2.26,3.93,3.05,5.54,5.14,1.97,3.12,1.26,4.21,1.87,1.82,2.47,3.73,3.2,5.3,1.04,3.79,2.15,1.44,2.35,1.1,2.56,0.75,2.11,2.88,1.54,2.72,5.11,1.21,,,,,,,
December,,,1.28,3.03,2.98,0.97,2.59,2.51,4.25,3.35,3.11,2.89,4.23,1.92,4.29,3.83,6.9,1.41,2.7,1.15,4.01,3.89,4.7,2.65,3.77,1.4,3.5,2.43,0.75,1.19,1.01,4.21,1.25,1.74,1.91,2.96,4.52,2.97,3.22,3.45,2.8,3.4,3.35,,,,,,,
Total,,,26.68,34.31,23.68,24.4,33.45,26.97,30.11,29.2,22.89,28.72,42.07,22.86,26.38,29.53,33.6,39.19,32.42,27.87,29.64,34.71,31.37,28.52,26.65,22.33,38.79,21.39,25.04,23.62,28.45,28.92,26.82,24.4,32.09,30.35,28.53,28.41,27.85,26.31,33.82,27.3,22.54,,,,,,,
