ARMAGH OBSERVATORY,,,,,,,,,,,,
Grid ref,IH878457,Long,-6.650237,Lat,54.352550,,,,,,,
Station no,6193,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.65,4.60,0.94,1.87,3.36,2.09,4.56,3.40,2.20,3.12,,
February,3.02,0.78,1.43,3.98,3.55,1.07,2.02,3.90,1.01,3.07,,
March,2.78,1.42,0.35,3.19,1.08,2.74,2.45,1.37,2.34,2.03,,
April,1.72,1.58,2.17,0.50,2.75,1.07,1.17,1.20,2.90,2.52,,
May,1.49,1.11,1.40,3.95,2.76,1.29,2.43,2.64,1.32,-999.00,,
June,2.11,2.27,2.36,2.29,4.30,2.50,1.40,5.41,1.99,2.86,,
July,3.34,1.70,4.14,4.61,1.83,3.81,3.68,5.44,3.31,3.88,,
August,4.47,3.86,3.68,2.26,1.10,6.28,5.56,3.89,1.02,3.84,,
September,1.89,1.23,2.97,4.39,3.61,3.17,3.87,2.92,1.59,3.30,,
October,0.85,3.87,2.09,5.24,1.47,1.85,3.49,3.91,3.92,5.08,,
November,5.50,2.47,2.64,4.41,2.09,2.24,0.99,1.66,3.22,3.33,,
December,4.30,3.47,3.52,3.73,4.13,5.52,4.30,5.17,4.57,3.05,,
Total,34.12,28.36,27.69,40.42,32.03,33.63,35.92,40.91,29.39,39.43,,
Calc annual,34.12,28.36,27.69,40.42,32.03,33.63,35.92,40.91,29.39,36.08,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,3.35,,
