ESKDALE HEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,NY227065,Long,-3.193598,Lat,54.447993,Elevation,1400,ft,,,,,,,,,,,,
Station no,RR6083,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,3.84,6.35,9.89,5.68,15.59,15.54,10.43,,,,,,
February,,,,,,,,3.96,14.22,5.57,9.52,7.05,8.67,2.75,,,,,,
March,,,,,,,,1.78,6.7,3.34,3.59,5.36,0.37,3.18,,,,,,
April,,,,,,,,4.32,2.82,3.03,8.25,2.5,1.95,6.93,,,,,,
May,,,,,,,,5.46,1.83,4.56,3.45,3.94,5.78,0.68,,,,,,
June,,,,,,,,5.95,6.34,1.72,4.69,6.97,7.34,2.94,,,,,,
July,,,,,,,,3.21,7.21,8.83,6.46,7.78,3.93,8.93,,,,,,
August,,,,,,,,5.82,8.42,5.84,8.47,7.67,9.12,7.09,,,,,,
September,,,,,,,,8.14,3.99,4.47,4.02,6.3,2.69,5.62,,,,,,
October,,,,,,,,10.27,9.9,9.56,8.27,9.16,6.05,8.36,,,,,,
November,,,,,,,,13.25,7.97,9.51,12.16,2.15,10.08,5.01,,,,,,
December,,,,,,,,8.93,11.03,4.9,7.13,4.11,17.33,1.15,,,,,,
Total,,,,,,,,74.93,86.78,71.22,81.69,78.58,88.85,63.07,,,,,,
,,,,,,,,,,,,,,,,,,,,
1849 Aug,,,,,,,,,,,,,,,,,,,,
"Records states the ""1852 - agrees with ppt by JFM in another place he calls this station No XIII, but assignes the same fall to it. I suppose a misprint""",,,,,,,,,,,,,,,,,,,,
Miller's site XIII is on Hardknott - in the general area of NY230015,,,,,,,,,,,,,,,,,,,,
No locational information on record so NGR where streams merge and become the River Esk.,,,,,,,,,,,,,,,,,,,,
