"FETTERCAIRN ARNHALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,3.92,2.20,2.95,1.65,2.67,1.01,,
February,,,,,4.30,3.95,2.60,1.60,1.55,1.51,,
March,,,,,1.60,1.58,3.70,1.30,3.40,0.90,,
April,,,,,2.45,2.41,1.15,2.05,1.35,4.59,,
May,,,,,1.45,3.86,3.48,0.95,2.21,1.52,,
June,,,,,0.70,0.57,1.20,0.60,2.68,1.89,,
July,,,,,5.31,0.77,4.25,1.30,4.20,1.39,,
August,,,,,1.49,2.47,1.15,2.65,3.20,7.06,,
September,,,,,2.65,3.93,2.32,2.80,0.90,0.36,,
October,,,,,2.54,2.38,5.00,1.25,2.19,3.51,,
November,,,,,2.75,2.70,2.00,3.60,5.62,1.16,,
December,,,,,2.78,1.40,1.60,1.15,2.88,1.57,,
Total,,,,,31.94,28.22,31.40,20.90,32.85,26.47,,
Calc annual,0.00,0.00,0.00,0.00,31.94,28.22,31.40,20.90,32.85,26.47,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,,
