"HERNE BAY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,none,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,,3.47,1.08,,,,
February,,,,,,,0.50,0.39,,,,
March,,,,,,,0.76,1.22,,,,
April,,,,,,,1.33,1.69,,,,
May,,,,,,,3.05,1.27,,,,
June,,,,,,0.12,0.23,0.44,,,,
July,,,,,,0.21,2.74,1.09,,,,
August,,,,,,0.44,1.33,1.67,,,,
September,,,,,,3.80,0.87,2.38,,,,
October,,,,,,3.78,1.76,1.57,,,,
November,,,,,,2.00,2.27,4.30,,,,
December,,,,,,0.87,3.53,1.67,,,,
Total,,,,,,,21.84,18.77,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,11.22,21.84,18.77,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,,
