"MAIDEN BRADLEY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,2.21,3.69,5.17,4.31,,,,,,
February,,,2.36,5.67,2.97,5.09,,,,,,
March,,,1.51,1.76,4.04,1.45,,,,,,
April,,,6.08,0.95,2.07,3.25,,,,,,
May,,,1.75,1.57,2.32,4.45,,,,,,
June,,,5.43,3.48,4.32,1.34,,,,,,
July,,,5.06,3.25,5.27,0.30,,,,,,
August,,,2.73,1.98,1.86,2.73,,,,,,
September,,,3.93,5.61,2.60,5.91,,,,,,
October,,,7.27,4.09,0.73,5.24,,,,,,
November,,,5.02,5.56,2.41,4.28,,,,,,
December,,,5.54,1.60,5.70,1.83,,,,,,
Total,,,48.89,39.21,39.46,40.18,,,,,,
Calc annual,0.00,0.00,48.89,39.21,39.46,40.18,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
