"ARNFIELD RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2747,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.71,0.70,4.44,5.25,5.69,2.40,5.40,1.82,1.88,1.85,,
February,3.92,5.70,3.50,2.48,2.72,2.72,0.61,0.72,1.17,2.45,,
March,3.22,4.98,3.25,0.67,2.06,2.37,2.58,1.63,2.75,4.03,,
April,2.35,1.03,3.80,1.84,1.78,2.05,2.45,1.40,2.52,2.60,,
May,2.32,4.33,1.70,1.35,2.01,2.15,7.27,2.33,1.04,1.75,,
June,3.38,1.89,7.31,4.46,1.28,3.89,1.89,0.36,2.75,0.79,,
July,6.29,3.22,5.15,2.93,3.41,1.97,3.42,1.18,6.11,3.03,,
August,1.70,4.91,3.50,4.05,2.70,1.90,2.20,1.51,3.57,5.91,,
September,5.47,2.51,2.83,6.60,3.16,3.98,3.06,3.90,1.95,3.65,,
October,6.57,4.51,4.34,6.23,2.45,7.86,5.43,2.55,1.85,4.13,,
November,4.55,3.89,6.79,3.22,2.13,2.90,2.10,1.99,7.35,2.02,,
December,6.50,4.67,4.78,3.58,4.97,2.62,5.58,2.76,2.42,3.24,,
Total,46.98,42.34,51.39,42.66,34.36,36.81,41.99,22.15,35.36,35.45,,
Calc annual,46.98,42.34,51.39,42.66,34.36,36.81,41.99,22.15,35.36,35.45,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
