"PENTRIDGE RECTORY, CAMBORNE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,none,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.71,2.30,,,,,,,,,,
February,4.48,4.12,,,,,,,,,,
March,0.66,2.88,,,,,,,,,,
April,2.54,0.65,,,,,,,,,,
May,0.49,0.99,,,,,,,,,,
June,3.31,2.95,,,,,,,,,,
July,4.61,1.96,,,,,,,,,,
August,1.73,6.13,,,,,,,,,,
September,3.47,2.95,,,,,,,,,,
October,5.85,,,,,,,,,,,
November,3.01,,,,,,,,,,,
December,5.17,,,,,,,,,,,
Total,36.03,,,,,,,,,,,
Calc annual,36.03,24.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
