"DENSHAW, READYCON DEAN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,2.66,4.13,1.74,1.46,2.15,,
February,,,,,,3.71,0.63,0.85,0.31,1.84,,
March,,,,,,2.74,3.07,1.47,2.39,1.69,,
April,,,,,,2.29,2.67,1.26,3.14,2.98,,
May,,,,,,2.48,5.48,1.90,0.83,2.03,,
June,,,,,1.13,3.68,1.98,0.53,3.02,0.50,,
July,,,,,4.30,1.21,5.93,2.11,7.68,3.82,,
August,,,,,2.24,1.18,2.35,1.39,4.35,6.70,,
September,,,,,2.15,4.78,4.21,5.44,1.85,2.65,,
October,,,,,3.15,7.22,6.52,3.29,1.90,5.28,,
November,,,,,1.91,3.36,3.07,2.58,7.99,2.02,,
December,,,,,5.25,1.76,4.98,2.41,3.00,2.24,,
Total,,,,,,37.07,45.02,24.97,37.92,33.90,,
Calc annual,0.00,0.00,0.00,0.00,20.13,37.07,45.02,24.97,37.92,33.90,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,,
