"WARRENPOINT SUMMERHILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,1.34,1.19,2.51,6.32,5.15,2.81,3.37,2.78,1.77,4.53,,
February,2.78,5.06,4.00,4.63,4.59,4.79,3.49,1.12,0.46,2.57,,
March,3.44,5.73,3.31,2.05,4.17,3.18,5.02,0.96,2.83,3.09,,
April,3.75,2.34,5.38,2.23,2.06,4.35,2.33,1.36,1.97,3.72,,
May,1.03,3.30,3.04,2.22,2.30,1.57,4.82,1.02,1.79,3.90,,
June,2.93,5.21,4.02,1.77,0.39,0.93,1.10,0.54,3.40,0.03,,
July,3.24,2.69,6.33,3.83,3.92,1.65,3.45,2.84,4.64,2.46,,
August,1.08,4.78,3.70,4.36,1.00,2.74,1.95,2.08,2.75,6.93,,
September,4.21,2.65,4.06,5.14,2.25,6.08,2.72,1.99,1.63,1.29,,
October,2.55,4.31,4.08,3.36,2.30,3.20,6.34,2.16,0.88,3.92,,
November,3.60,5.12,7.80,4.02,2.89,3.30,2.88,2.80,5.02,1.82,,
December,2.23,3.27,4.90,2.08,4.81,1.29,4.40,2.90,5.27,3.01,,
Total,32.18,45.65,53.13,42.01,35.83,35.89,41.87,22.55,32.41,37.27,,
Calc annual,32.18,45.65,53.13,42.01,35.83,35.89,41.87,22.55,32.41,37.27,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
