"ANTRIM, THE MANSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.80,,,4.12,4.25,2.04,3.76,1.69,1.36,2.90,,
February,0.99,,,2.71,2.43,3.24,2.43,1.21,0.57,2.21,,
March,1.25,,,1.12,3.21,1.89,2.51,1.03,2.50,2.00,,
April,3.01,,,1.45,0.87,1.90,1.20,1.73,1.42,2.48,,
May,0.46,,,2.01,3.12,1.46,2.98,1.49,3.02,2.27,,
June,2.21,,,1.37,1.42,0.53,1.08,0.34,3.04,2.68,,
July,4.21,,,2.51,2.39,2.14,2.80,2.57,4.63,,,
August,0.79,,,4.54,2.58,1.80,1.61,2.06,2.90,5.63,,
September,4.46,,,3.73,4.88,4.61,2.90,3.86,1.49,2.14,,
October,1.37,,,3.10,3.22,2.58,3.29,1.61,1.34,3.66,,
November,2.71,,,3.14,2.80,2.00,3.69,2.32,4.25,1.99,,
December,2.23,,,1.85,2.94,1.09,4.36,1.76,3.08,2.66,,
Total,24.49,,,31.65,34.11,25.28,32.61,21.67,29.60,30.62,,
Calc annual,24.49,0.00,0.00,31.65,34.11,25.28,32.61,21.67,29.60,30.62,,
Difference,-0.00,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
