"BRISTOL STAPLETON RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.47,0.84,2.23,3.12,4.13,2.43,4.42,1.41,1.02,0.70,,
February,4.04,3.42,2.25,3.18,1.37,3.05,0.83,0.52,0.65,1.28,,
March,2.30,1.66,1.92,1.02,2.48,1.40,2.62,1.51,3.40,3.96,,
April,1.95,0.48,3.94,0.78,1.07,2.01,2.26,1.94,1.93,4.09,,
May,1.22,1.35,1.36,1.51,1.82,2.62,4.86,2.02,1.28,1.52,,
June,2.66,3.48,3.37,3.19,3.99,1.56,0.92,1.15,3.65,0.74,,
July,4.46,2.13,4.98,3.20,2.64,0.69,3.26,1.12,6.24,2.88,,
August,0.65,5.58,4.39,2.35,2.56,2.51,2.44,1.52,2.05,3.74,,
September,3.25,2.00,2.68,4.54,1.65,4.37,2.55,3.93,0.97,2.12,,
October,6.18,2.05,7.15,2.63,0.95,4.31,4.57,2.66,1.02,2.54,,
November,2.70,4.30,5.14,4.41,1.74,5.34,3.85,2.62,6.44,1.17,,
December,4.86,3.80,3.82,0.71,4.47,1.25,4.28,1.77,3.22,2.12,,
Total,34.74,31.09,43.23,30.64,28.87,31.54,36.86,22.17,31.87,26.86,,
Calc annual,34.74,31.09,43.23,30.64,28.87,31.54,36.86,22.17,31.87,26.86,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
