"LONGFORMACUS RAWBURN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,3.00,2.00,1.30,2.00,1.00,,
February,,,,,,2.80,1.50,0.70,2.00,2.10,,
March,,,,,,2.30,4.00,2.00,1.50,2.50,,
April,,,,,,3.70,1.60,1.60,3.20,5.00,,
May,,,,,,3.90,3.70,2.20,1.50,2.20,,
June,,,,,,2.00,1.30,0.20,2.10,0.70,,
July,,,,,,1.60,4.00,2.40,4.80,3.00,,
August,,,,,,2.10,2.00,2.10,2.60,7.80,,
September,,,,,,4.00,2.50,4.50,1.00,1.20,,
October,,,,,,4.60,4.80,1.80,1.30,5.60,,
November,,,,,,2.30,3.60,4.40,7.80,0.60,,
December,,,,,,1.20,3.00,2.10,2.00,1.80,,
Total,,,,,,33.50,34.00,25.30,31.80,33.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,33.50,34.00,25.30,31.80,33.50,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,,
