"NEWCASTLE FAIRLEIGH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,2.45,1.28,3.66,10.30,7.99,4.03,4.52,5.63,2.56,5.12,,
February,3.79,10.25,5.00,7.14,6.56,6.71,3.34,1.63,0.42,3.77,,
March,4.48,6.17,3.38,2.02,5.60,4.31,6.66,1.80,4.43,4.81,,
April,6.65,3.21,5.40,2.16,2.66,2.73,3.90,2.31,1.87,4.77,,
May,0.97,3.35,3.20,3.92,2.76,1.99,7.32,1.40,5.05,3.93,,
June,1.64,5.47,3.39,1.90,0.81,0.90,1.55,0.87,6.52,0.36,,
July,4.33,2.40,5.62,3.63,4.62,1.54,4.54,3.99,6.85,6.12,,
August,0.78,4.09,5.69,5.94,2.41,4.51,1.83,2.50,4.69,6.37,,
September,4.30,3.72,4.58,6.86,3.49,8.11,3.99,3.00,1.96,1.86,,
October,2.69,3.94,6.13,3.66,2.83,5.62,6.42,1.36,1.64,6.07,,
November,5.08,8.50,7.38,5.52,6.41,3.25,5.45,3.03,6.30,2.07,,
December,3.03,6.31,5.82,2.01,5.28,1.54,7.54,3.49,7.05,4.10,,
Total,40.19,58.69,59.25,55.06,51.42,45.24,57.06,31.01,49.34,49.35,,
Calc annual,40.19,58.69,59.25,55.06,51.42,45.24,57.06,31.01,49.34,49.35,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
