"STROME FERRY H.R.S.",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,5.76,1.28,6.60,6.47,10.17,4.36,6.57,7.31,5.53,5.85,,
February,8.31,2.94,6.37,6.35,6.01,8.91,3.26,6.37,3.65,5.12,,
March,2.50,5.01,7.88,4.18,4.98,5.10,3.28,2.96,4.23,6.22,,
April,5.16,1.04,3.09,1.91,2.46,1.89,4.45,3.94,3.06,2.21,,
May,2.58,3.29,3.26,3.25,4.34,4.26,3.49,2.96,3.85,2.19,,
June,2.33,5.49,4.48,2.96,3.13,4.14,3.42,2.26,1.64,0.76,,
July,2.76,8.40,6.60,2.62,5.57,2.76,4.94,4.75,3.37,1.07,,
August,2.35,4.51,3.81,7.74,6.07,2.37,3.79,4.20,5.06,6.83,,
September,4.42,1.93,6.28,3.26,5.29,9.97,6.15,3.89,3.19,4.31,,
October,2.58,3.40,3.33,6.81,8.88,6.72,5.78,5.84,9.53,3.81,,
November,8.71,10.34,10.46,10.25,9.89,4.88,8.67,3.58,7.07,4.96,,
December,5.00,8.20,6.61,10.91,6.39,10.71,8.27,6.73,6.58,8.50,,
Total,52.46,55.83,68.77,66.71,73.18,66.07,62.07,54.79,56.76,51.83,,
Calc annual,52.46,55.83,68.77,66.71,73.18,66.07,62.07,54.79,56.76,51.83,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,,
