"TORPOINT THANCKES [DEVONPORT]",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,2.14,2.54,4.80,,,,,,,,
February,,5.38,2.91,,,,,,,,,
March,,5.03,1.69,,,,,,,,,
April,3.64,1.42,6.90,,,,,,,,,
May,1.25,1.18,1.15,,,,,,,,,
June,1.08,4.18,4.25,,,,,,,,,
July,3.87,2.69,4.76,,,,,,,,,
August,1.00,4.36,3.48,,,,,,,,,
September,4.44,3.34,5.01,,,,,,,,,
October,5.39,3.63,6.62,,,,,,,,,
November,3.82,6.00,5.79,,,,,,,,,
December,6.03,4.75,7.41,,,,,,,,,
Total,,44.10,52.51,,,,,,,,,
Calc annual,30.52,44.10,52.51,4.80,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
