WORCESTER BOUGHTON PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SO831536,Long,-2.2485792,Lat,52.18039,Elevation,82,ft,,,,,,,,,,,,
Station no,RR6133,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.55,2.22,0.8,4.01,1.06,0.68,1,2.28,0.57,,,,,,,,
February,,,,1.9,3.89,0.91,1.8,0.88,1.29,0.44,3.08,1.58,,,,,,,,
March,,,,3.62,1.36,3.03,1.05,0.62,2.93,3.02,0.79,1.85,,,,,,,,
April,,,,1.97,1.26,1.76,1.47,2.34,3.19,2.1,2.15,,,,,,,,,
May,,,2.16,6.13,2.1,0.37,2.36,2.74,1.74,1.12,1.32,,,,,,,,,
June,,,3.04,3.08,0.8,3.53,3.18,2.38,2.4,3.88,3.2,,,,,,,,,
July,,,1.71,3.34,3.59,1.3,0.99,2.51,1.8,3.19,1.97,,,,,,,,,
August,,,3.51,3.53,1.89,5.41,0.65,2.26,2.6,1.6,5.36,,,,,,,,,
September,,,1.46,3.03,2.21,0.83,0.68,0.47,2.27,3.33,0.71,,,,,,,,,
October,,,2.73,6.13,0.68,1.39,4.53,6.84,1.95,3.11,2.93,,,,,,,,,
November,,,2.4,1.53,1.21,2.77,2.62,2.16,1.33,0.9,3.76,,,,,,,,,
December,,,1.68,1.29,1.94,0.86,1.68,3.81,2.13,3.83,4.24,,,,,,,,,
Total,,,,38.1,23.15,22.96,25.02,28.07,24.31,27.52,31.79,,,,,,,,,
