WORCESTER BOUGHTON PARK,,,,,,,,,,,,
Grid ref,SO833539,Long,-2.245669,Lat,52.183093,,,,,,,
Station no,RR6133,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.55,2.22,0.80,4.01,1.06,0.68,1.00,,
February,,,,1.90,3.89,0.91,1.80,0.88,1.29,0.44,,
March,,,,3.62,1.36,3.03,1.05,0.62,2.93,3.02,,
April,,,,1.97,1.26,1.76,1.47,2.34,3.19,2.10,,
May,,,2.16,6.13,2.10,0.37,2.36,2.74,1.74,1.12,,
June,,,3.04,3.08,0.80,3.53,3.18,2.38,2.40,3.88,,
July,,,1.71,3.34,3.59,1.30,0.99,2.51,1.80,3.19,,
August,,,3.51,3.53,1.89,5.41,0.65,2.26,2.60,1.60,,
September,,,1.46,3.03,2.21,0.83,0.68,0.47,2.27,3.33,,
October,,,2.73,6.13,0.68,1.39,4.53,6.84,1.95,3.11,,
November,,,2.40,1.53,1.21,2.77,2.62,2.16,1.33,0.90,,
December,,,1.68,1.29,1.94,0.86,1.68,3.81,2.13,3.83,,
Total,,,,38.10,23.15,22.96,25.02,28.07,24.31,27.52,,
Calc annual,0.00,0.00,18.69,38.10,23.15,22.96,25.02,28.07,24.31,27.52,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
