LINCOLN - THE CLOSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK978717,Long,-0.536,Lat,53.233,Elevation,185,ft,,,,,,,,,,,,,
Station no,RR2727,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908
January,0.60,1.64,2.42,1.21,1.00,1.99,1.96,3.87,1.11,2.11,0.79,1.83,2.93,0.72,0.88,1.85,1.72,0.73,2.49,0.91,1.23
February,1.51,2.05,1.11,0.16,1.96,2.14,1.41,0.24,0.68,2.97,0.66,1.12,3.23,1.62,1.50,0.51,2.48,0.57,2.04,1.51,2.02
March,2.54,3.10,1.53,1.21,0.94,0.29,0.55,2.17,2.18,2.09,1.42,0.89,0.69,2.10,1.32,3.22,1.52,1.61,1.63,1.42,2.12
April,2.01,2.52,0.46,1.58,1.31,0.26,2.26,1.56,0.67,1.31,2.35,2.33,1.11,1.24,1.62,1.47,0.80,1.52,0.81,1.67,2.95
May,0.63,3.93,2.38,3.23,3.36,1.24,1.41,0.98,0.64,1.61,2.19,3.15,1.55,0.94,2.68,2.65,2.18,0.52,1.30,3.72,2.24
June,1.34,0.77,1.74,3.35,3.51,1.14,2.92,1.33,3.33,2.48,1.23,1.41,2.36,1.76,2.38,0.91,0.47,2.62,1.90,2.44,
July,5.56,2.10,2.22,2.82,2.94,3.04,3.73,4.00,1.97,0.61,0.73,0.96,0.98,2.83,1.50,2.79,2.86,1.11,1.63,1.67,
August,2.27,2.69,2.81,3.15,1.67,1.51,2.21,2.00,1.60,3.17,2.39,0.45,4.98,2.11,2.88,4.65,3.07,2.97,2.02,2.22,
September,1.89,2.06,1.36,1.38,2.47,0.78,0.82,0.55,4.03,2.76,0.54,1.89,0.71,0.89,0.78,3.96,1.74,1.89,0.85,0.67,
October,0.53,4.77,0.89,3.83,4.58,1.89,3.30,2.69,3.53,0.73,2.64,2.93,2.21,1.54,2.42,5.45,0.35,1.82,4.73,5.00,
November,2.75,0.64,2.80,2.51,1.25,2.61,1.93,2.83,1.18,1.85,1.49,0.98,1.82,2.22,1.51,1.69,0.88,2.40,2.65,1.93,
December,1.80,1.55,0.73,2.53,0.79,1.60,1.98,1.90,3.49,1.76,1.90,2.31,3.08,4.14,1.58,0.81,1.49,0.59,2.28,1.43,
Total,23.43,27.82,20.45,26.96,25.78,18.49,24.48,24.12,24.41,23.45,18.33,20.25,25.65,22.11,21.05,29.96,19.56,18.35,24.33,24.59,
,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/045,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/173,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/116,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# No details on the exact location. The grid reference provided is a possible location in the Cathedral Close of the right altitude.,,,,,,,,,,,,,,,,,,,,,
