HEREFORD (DAVISON'S NURSERY),,,,,,,,,,,,,,,,,,,,
Grid ref,SO493407,Long,-2.7409467,Lat,52.062344,Elevation,202,ft,,,,,,,,,,,,
Station no,RR4669,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,2.82,5.45,2.08,2.58,5,4.05,2.85,3.61,2.79,4.56,,
February,,,,,,,,,1.32,3.48,1.84,1.84,3.68,0.95,2.69,2.2,2.44,1.59,,
March,,,,,,,,,1.56,1.62,1.43,1.41,2.01,2.77,0.81,1.07,2.68,2.42,,
April,,,,,,,,,1.84,1.03,0.68,2.11,2.89,1.03,1.62,1.15,3.01,,,
May,,,,,,,,,2.41,4.87,0.91,0.88,1.43,1.85,1.12,2.75,0.28,,,
June,,,,,,,,,0.44,0.97,0.18,3.1,3.68,2.89,0.63,2.76,0.97,,,
July,,,,,,,,,1.55,0.36,1.18,3.06,5.9,2.49,0.79,5.36,1.1,,,
August,,,,,,,,,5.39,0.85,0.98,1.57,2.03,2.74,2.14,1.85,2.4,,,
September,,,,,,,,,3.75,5.91,1.27,6.52,2.86,1.61,4.51,3.97,4.27,,,
October,,,,,,,,,1.88,1.56,4.28,3.25,4.22,1.99,2.78,5.62,3.32,,,
November,,,,,,,,,1.25,2.44,2.44,0.93,5.77,1.2,2.39,3.53,4.89,,,
December,,,,,,,,,6.27,3.68,1.72,1.19,5.03,0.75,2.77,1.93,6.26,,,
Total,,,,,,,,,30.48,32.22,18.99,28.44,44.5,24.32,25.1,35.8,34.41,,,
