FORDINGBRIDGE-DOCKENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU192110,Long,-1.7283528,Lat,50.898162,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.4,1.12,3.95,5.65,4.07,3.82,5.16,1.52,3.71,4.54,5.59,2.38,6.23,1.36,5.02,2.48,2.7,2.92,2.87,0.64,6.09,6.44,3.43,6.28,3.15,3.81,4.85,6.8,2.34,1.88,2.9,3.47,,0.74,0.82,3.62,2.46,0.83,1.82,3.19,,,,,
February,,,,,,,5.18,1.06,1.89,3.41,0.67,0.17,3.03,6.57,0.29,4.86,1.93,4.16,2.47,1.1,0.74,2.34,0.09,4.84,0.12,4.05,3.07,5.95,0.81,1.7,3.88,3.43,0.31,1.55,0.49,1.92,2.79,1.71,,1.32,5.57,5.79,0.87,1.51,2.9,2.46,,,,,
March,,,,,,,3.71,2.91,1.09,5.91,2.46,1.89,2.75,1.63,1.6,0.6,0.69,4.05,3.12,0.22,1.34,1.11,1.62,3.56,3.36,1.3,3.21,3.78,0.27,1.17,2.67,4.37,2.54,0.75,0.26,0.91,0.98,6.24,,1.38,1.68,3.98,3.1,0.64,4.1,1.22,,,,,
April,,,,,,,1.35,2.52,2.08,1.42,3.1,1.05,3.17,3.63,3.58,2.64,3.82,2.14,2.3,1.39,2.89,2.47,3.24,1.59,2.33,3.77,1.86,2.23,0,2,0.85,2.49,1.85,0.88,1.88,0.85,2.9,2.49,,1.69,2.4,2.73,1.8,2.52,0.14,0.43,,,,,
May,,,,,,,1.95,1.37,1.57,0.88,1.18,1.04,0.44,1.75,4.17,4.42,1.81,0.77,1.49,2.47,2.02,3.02,4.7,2.16,0.87,1.03,1.44,2.82,1.71,1.32,0.71,1.35,3.48,2.9,0.16,2.34,4.28,1.63,,1.84,1.49,2.6,1.82,2.21,1.94,3.83,,,,,
June,,,,,,,2.54,2.44,1.48,0.97,2.5,0.26,1.05,0.5,2.26,0,3.18,2.48,2.31,1.31,0.82,3.38,2.26,2.94,0.97,4.25,2.91,0.9,0.71,2.28,0.29,1.61,0.28,1.11,1.81,3.09,5.85,1.6,,0.38,0.87,0.61,0.98,3.57,3.06,3.49,,,,,
July,,,,,,,1.23,5.43,4.64,1.5,5.23,0.7,4.29,0.75,4.77,2.44,1.06,3.6,1.66,1.46,2.03,3.69,3.03,1.88,0.8,0.65,4.33,1.37,2.49,5.83,2.65,2.03,1.34,2.03,2.91,1.22,1.2,0.81,,0.72,3.51,1.76,0.43,3.79,2.95,0.77,,,,,
August,,,,,,,5.3,4.9,2.72,3.35,1.39,1.48,3.54,2.57,3.17,3.41,1.19,3.74,2.58,2.25,3.16,4.75,0.97,1.44,4.13,3.49,0.25,1.13,1.75,2.18,0,3.57,4.22,1.54,2.92,2.18,4.4,0.65,,0.93,3.77,3.98,3.67,2.02,4.7,0.4,,,,,
September,,,,,,,3.19,1.69,6.47,2.04,1.34,0.88,1.59,1.83,4.44,3.78,0.74,6.2,2.06,0.42,3.24,1.76,3.87,2.33,2.57,3.7,4.3,2.58,1.31,2.17,1.64,1.23,2,1.92,1.88,2.21,4.56,1.04,,2.88,3.49,4.32,4.34,2.9,2.98,1.79,,,,,
October,,,,,,,5.2,4.66,2.08,0.82,2.34,0.94,1.46,5.2,4.98,4.35,3.2,2.57,7.38,5.1,1.96,0.65,5.46,2.06,1.51,6.64,1.8,3.89,3.05,6.01,4.48,1.01,4.28,4.92,4.3,3.75,1.02,0.8,,7.62,0.88,1.42,4.8,3.82,3.33,3.72,,,,,
November,,,,,,,5.88,0.97,3.16,2.35,2.52,2.33,2.32,2.06,2.79,3.02,11.3,4.21,2.6,10.06,5.3,5.11,2.21,0.86,2.7,7.77,3.53,1.8,6.02,6.62,8.15,2.76,1.54,1.28,5.67,0.4,5.62,1.38,,4.64,6.36,-999,3.6,1.53,5.42,3.48,,,,,
December,,,,,,,4.58,1.35,3.04,6.16,3.24,1.85,4.65,3.49,6.28,3.49,0.45,3.97,2.34,8.51,4.15,0.77,1.5,1.08,9.41,4.87,3.78,4.02,4.47,1.82,2.83,1.97,4.36,2.54,2.51,4.68,3.38,3.37,,1.26,2.56,2.87,2.2,0.67,3.3,5.01,,,,,
Total,,,,,,,41.51,30.42,34.17,34.46,30.04,16.41,33.45,31.5,42.04,37.55,34.96,40.27,36.54,35.65,32.67,31.53,31.65,27.66,31.64,42.16,36.57,36.91,26.02,39.38,31.3,29.63,31.05,28.22,27.13,25.43,39.88,25.19,,25.4,33.4,43.53,30.07,26.01,36.64,29.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Aug dash interpreted as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 All values estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
