FOWNHOPE MORNEY CROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO570358,Long,-2.628021,Lat,52.018945,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,,,0.52,2.6,1.19,1.62,2.02,2.27,4.51,0.44,1.67,0.24,4.31,3.11,1.57,0.66,2.89,2.7,,,1.47,0.63,0.83,2.48,,,,,,,1.15,2.32,2.49,3.42,2.69,3.79,1.17,3.6,2.25,3.73,3.25,3.99,1.02,5.57,,,,,,,,,,,,
February,,,,,,,,,,1.28,0.55,0.3,1.99,2.82,2.03,0.14,0.15,2.31,1.12,3.5,5.26,0.64,0.97,1.26,3.89,,,0.67,0.78,0.42,3.33,,,,,,,1.01,0.85,3.04,0.54,0.19,3.02,5.91,0.24,3.59,1.62,2.71,1.93,0.96,0.72,,,,,,,,,,,,
March,,,,,,,,,,2.29,0.63,1.76,0.67,0.23,1,1.71,2.06,2.76,0.59,0.41,1.09,2.6,1.28,3.22,1.48,,,0.54,2.63,2.41,0.73,,,,,,,3.14,1.45,4.5,3.34,1.37,2.59,1.26,1.28,0.73,0.33,2.41,2.67,0.17,2.5,,,,,,,,,,,,
April,,,,,,,,,,4.12,0.73,1.02,0.9,0.11,1.8,2.25,0.89,1.56,1.62,2.2,0.86,2.56,1.76,1.7,0.7,,,2.84,2.58,1.98,2.05,,,,,,,1.28,1.99,1.47,4.37,0.64,2.28,2.39,2.36,1.49,2.72,1.2,1.37,0.94,3.19,,,,,,,,,,,,
May,,,,,,,,,,3.8,1.69,2.97,1.67,2.01,2.6,0.39,0.14,0.52,4,2.2,2.22,0.76,1.65,3.81,1.39,,,2.33,1.35,0.76,1.52,,,,,,,4.42,2.08,0.41,1.59,0.97,0.67,1.28,5.61,2.73,2.16,1.02,1,2.29,1.82,,,,,,,,,,,,
June,,,,,,,,,3.84,0.47,1.61,2.31,1.53,1.85,1.65,0.84,1.59,2.67,0.91,1.64,1.51,2.17,3.19,2.55,0.72,,,2.14,1.1,1.85,3.32,,,,,,,2.61,0.51,0.7,3.2,0.68,0.8,0.34,1.82,0,1.46,2.76,2.84,1.77,0.39,,,,,,,,,,,,
July,,,,,,,,,5.46,2.76,1.63,1.47,3.17,2.38,2.07,1.78,1.15,1.23,0.69,0.46,1.4,2.68,0.97,2.26,3.11,,0.48,2.88,1.63,1.93,1.34,,,,,,,2.06,2.93,2.31,4.57,1.02,3.86,2.34,4.45,2.14,2.09,3.97,1.62,2.32,3.01,,,,,,,,,,,,
August,,,,,,,,,1.37,2.12,2.26,3.44,2.63,1.43,2.16,2.37,1.23,4.1,1.54,0.87,3.12,2.09,3.26,3.63,1.51,,,1.72,2.98,1.51,4.71,,,,,,,5.43,1.35,2.2,0.76,2.89,2.3,1.24,2.68,2.84,2.43,4.62,2.69,1.31,3.1,,,,,,,,,,,,
September,,,,,,,,,0.57,1.38,1.48,0.97,1.81,1.11,2.68,0.65,4.2,2.09,0.4,2.54,0.61,2.02,1.79,2.87,1.59,,,0.71,1.58,2.92,,,,,,,,2.22,6.33,1.15,1.93,1.17,1.77,1.71,4.84,3.93,0.77,4.74,0.94,1,3.43,,,,,,,,,,,,
October,,,,,,,,,0.46,2.93,1.15,6.1,2.38,2.09,3.18,2.31,2.3,1.78,3.98,2.79,2.73,1,3.12,4.98,0.74,,,8.48,2.09,2.89,,,,,,,,2.67,1.08,2.08,2.79,1.3,0.38,5.13,3.71,2.61,2.59,2.2,5.92,4.77,2.69,,,,,,,,,,,,
November,,,,,,,,,7.06,0.97,1.74,1.7,1.99,0.89,3.53,4.25,0.6,1.74,1.77,1.82,2.46,0.73,2.59,1.17,1.4,,,2.02,1.25,0.95,,,,,,,,0.94,1.77,1.02,0.72,2.04,0.89,1.53,2.58,1.24,6.37,2.84,2.74,7.82,3.51,,,,,,,,,,,,
December,,,,,,,,,2.25,1.22,1.25,2.78,0.8,3.44,1.64,2.23,3.21,3.39,3.01,2.42,4.95,4.06,1.25,2.09,1.78,,,3.05,2.38,3.62,,,,,,,,0.64,2.15,3.47,2.83,1.47,4.28,1.81,3.4,3,0.43,2.69,2.12,6.16,3.38,,,,,,,,,,,,
Total,,,,,,,,,,23.86,17.32,26.01,21.16,20.38,26.61,23.43,17.96,25.82,19.87,25.16,29.32,22.88,22.49,32.43,21.01,,,28.85,20.98,22.07,,,,,,,,27.57,24.81,24.84,30.06,16.43,26.63,26.11,36.57,26.55,26.7,34.41,29.83,30.53,33.31,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Although a record sheet present for the 1930s there are no data recorded. The observer died in 1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
