"BARR, ALTON ALBANY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX272936,Long,-4.7170966,Lat,55.206337,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,8.3,7.17,9.24,2.22,6.39,7.21,5.99,3.69,6.59,4.22,6.39,8.76,6.94,4.35,2.3,,,,,,,,,,
February,,,,,,,4.11,3.01,3.84,2.04,0.46,4.5,0.07,3.56,0.88,6.5,2.32,5.87,3.01,6.29,1.34,,,,,,,,,,
March,,,,,,,2.93,5.2,5.28,0.88,2.73,1.2,3.39,2.97,2.77,2.08,3.29,1.9,2.26,5.37,7,,,,,,,,,,
April,,,,,,,2.67,3.67,1.75,1.37,1.9,2.36,4.01,2.18,3.22,3.38,1.17,3.59,0.73,2.38,2.1,,,,,,,,,,
May,,,,,,,3.2,3.13,1.14,4.58,1.61,2.25,2.86,2.15,5.22,1.1,3.86,1.56,2.92,1.3,1.5,,,,,,,,,,
June,,,,,,,2.74,4.25,4.09,2.79,2.07,4.62,2.32,2.7,2.2,4.08,2.5,3.32,6.39,2.06,1.36,,,,,,,,,,
July,,,,,,,4.23,3.21,2.72,3.36,4.16,3.96,6.66,4.3,2.96,2.34,7.02,3.85,6.46,3.66,4.77,,,,,,,,,,
August,,,,,,,3.07,4.49,4.16,5.6,8.39,2.85,2.08,3.55,6.35,1.65,4.09,2.69,2.62,1.27,3.31,,,,,,,,,,
September,,,,,,,5.12,5.98,2.95,1.34,4.2,1.91,6.32,0.89,6.85,5.22,4.64,2.33,5.64,2.84,6.33,,,,,,,,,,
October,,,,,,,5.93,5.94,7.23,7.23,9.49,4.2,8.31,4.05,7.95,10.23,6.67,5.02,8.04,2.59,5.82,,,,,,,,,,
November,,,,,,,5.48,5.47,7.53,7.76,6.04,11.11,4.44,2.69,1.61,7.83,5.53,0.5,6.98,8.29,7.54,,,,,,,,,,
December,,,,,,,3.38,1.66,5.72,11.52,5.9,5.88,7.37,2.18,10.29,4.74,6.36,3.03,5.19,2.43,6.59,,,,,,,,,,
Total,,,,,,,51.16,53.18,55.65,50.69,53.34,52.05,53.82,34.91,56.89,53.37,53.84,42.42,57.18,42.83,49.96,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated for snow but value left in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
