"CAMBELTOWN, THE RECTORY",,,,,,,,,,,,
Grid ref,NR719203,Long,-5.606153,Lat,55.423355,,,,,,,
Station no,RR6122,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.06,4.43,4.03,7.79,4.85,5.38,6.58,-999.00,5.18,5.28,,
February,4.79,2.76,2.76,4.45,4.60,3.88,4.70,3.80,4.54,3.09,,
March,0.84,3.35,3.84,6.18,2.91,3.64,3.45,4.90,6.41,3.63,,
April,3.39,4.01,2.40,1.88,3.84,2.53,1.96,2.96,3.00,3.11,,
May,4.41,0.93,4.39,3.69,1.65,1.51,5.29,6.77,1.95,2.46,,
June,4.33,4.02,2.50,1.78,1.57,2.51,1.60,4.33,3.09,2.63,,
July,3.28,1.11,3.28,3.49,3.14,2.55,2.69,3.24,3.30,4.60,,
August,4.84,4.72,2.22,7.07,5.13,5.09,3.92,5.93,4.02,2.86,,
September,4.54,4.76,6.61,3.13,6.03,3.23,2.39,1.75,5.51,2.15,,
October,6.17,6.14,3.01,11.12,2.86,6.41,7.59,6.50,2.88,5.11,,
November,8.14,5.43,7.36,5.75,5.63,7.30,6.37,5.60,4.75,2.15,,
December,8.37,6.35,5.13,5.37,5.11,3.47,6.44,6.41,6.95,4.56,,
Total,61.16,48.01,47.53,61.70,47.32,47.50,52.98,55.16,51.58,41.63,,
Calc annual,61.16,48.01,47.53,61.70,47.32,47.50,52.98,52.19,51.58,41.63,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.97,-0.00,0.00,,
