BOREHAM-WOOD-FURZEHILL-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ193964,Long,-0.276876,Lat,51.65374,Elevation,302,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,904/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.16,2.7,2.65,3.06,4.96,1.79,2.65,2.36,2.22,5.11,1.2,0.96,3.5,1.87,0.92,0.98,3.04,4.32,1.61,2.9,2.57,2.54
February,,,,,,,,,0.85,2.04,2.47,1.03,1.47,0.97,2.11,3.17,1.81,1.48,1.29,4.3,5.21,0.78,1.85,2.65,1.96,0.5,3.63,3.07,0.11,2.43
March,,,,,,,,,1.62,3.05,3.03,1.86,0.46,0.16,0.69,1.56,6.77,0.83,1.2,0.99,3.62,3.3,0.66,2.99,1.29,1,1.28,1.33,2.14,1.95
April,,,,,,,,,3.53,2.01,1.78,1.44,1.19,1.6,1.31,1.43,1.86,1.24,1.86,2.22,2.98,1.64,2.62,0.27,0.45,1.09,0.17,1.75,2.78,0.64
May,,,,,,,,,1.66,1.74,2.14,2.82,2.58,0.45,3.11,3.5,1.15,3.26,2.19,1.75,2.24,1.5,1.51,2.3,4.57,0.52,1.28,2.79,0.69,2.47
June,,,,,,,,,1.71,0.98,1.37,0.29,1.59,1.66,1.72,2.82,3.2,3.09,0.79,1.43,1.44,2.64,2.93,4.49,1.85,2.97,1.84,4.98,0.99,1.66
July,,,,,,,,,2.28,2.28,4.42,2.28,1.57,1.29,2.88,2.25,1.59,1.04,1.35,4.58,0.88,0.64,3.38,2.83,0.18,4.28,2.88,2.8,2.44,3.79
August,,,,,,,,,4.34,0.05,5.07,2.67,1.61,2.42,1.18,4.15,0.13,2.46,1.83,2.18,3.77,7.18,2.13,3.16,1.4,7.49,2.62,2.64,2.12,2.16
September,,,,,,,,1.97,1.66,1,0.49,1.29,2.1,2.91,1.83,3.16,1.38,1.84,0.27,2.96,3.19,3.5,2.28,2.02,1.49,2.65,3.05,4.39,0.03,3.98
October,,,,,,,,3.66,5.85,3.72,0.81,4.2,2.88,3.62,2.97,1.6,0.1,2.26,6.59,0.46,1.06,3.14,2.93,2.83,4.12,3.01,2.14,2.68,2.16,5.92
November,,,,,,,,3.93,5.45,7.62,2.65,1.91,1.4,4.14,0.24,5.28,1.09,2.34,2.72,4.81,5.37,3.87,1.5,4.55,1.69,0.63,2.47,2.47,2.73,4.68
December,,,,,,,,3.78,1.49,1.47,1.94,2.96,1.51,1.59,3.57,2.38,2.54,2.97,1.72,1.93,1.76,2.89,0.61,1.65,2.25,3.91,2.48,3.32,4.49,3.37
Total,,,,,,,,,35.6,28.66,28.82,25.81,23.32,22.6,24.26,33.66,23.84,27.92,23.01,28.57,35.02,32.95,23.32,30.72,24.29,32.37,25.45,35.12,23.25,35.59
