FARNDALE NO. 13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE675994,Long,-0.962,Lat,54.386,Elevation,1055,ft,,,,,,,,,,,,,,,,,,,
Station no,3465/8/2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.54,4.36,6.35,5.18,4.23,6.71,-999.00,4.45,-999.00,6.01,2.22,-999.00,2.25,4.00,9.06,2.00,,-999.00,-999.00,1.70,2.64,2.40,5.67,2.34,4.40,3.50,7.85
February,1.34,4.29,5.09,-999.00,2.23,1.91,-999.00,6.10,-999.00,1.03,-999.00,-999.00,2.57,5.00,1.90,0.67,,4.03,-999.00,3.70,5.00,-999.00,3.70,4.53,3.95,0.65,4.39
March,3.65,1.03,1.30,-999.00,0.28,5.15,2.44,3.72,-999.00,0.41,-999.00,0.70,1.99,6.47,1.40,2.55,1.80,3.97,3.50,0.40,3.42,-999.00,1.22,2.25,5.05,1.98,1.98
April,4.57,4.16,1.74,3.51,0.38,1.61,2.80,2.04,2.21,1.22,2.31,3.23,2.70,4.25,1.31,2.80,2.80,2.90,1.80,3.68,0.38,1.50,1.72,1.30,2.20,4.40,1.30
May,1.37,1.91,2.11,3.15,4.15,3.62,0.88,2.12,3.27,3.43,1.63,3.36,3.35,2.11,1.81,1.56,2.60,7.40,-999.00,4.30,4.90,2.90,1.12,1.78,3.20,1.10,1.95
June,2.28,2.86,5.13,1.66,2.88,4.42,1.76,0.61,2.04,1.36,3.18,3.48,3.92,3.50,9.10,0.92,1.78,1.98,-999.00,4.30,2.10,2.66,5.73,1.97,2.90,1.70,0.90
July,3.28,0.46,4.03,2.00,3.66,3.43,7.61,1.91,6.43,1.10,3.96,2.10,4.19,2.50,1.20,2.63,3.50,1.90,-999.00,,2.79,1.69,4.50,4.70,3.60,3.30,6.36
August,3.96,3.51,2.65,2.05,3.99,3.92,2.28,4.04,3.14,3.35,5.26,5.50,-999.00,0.15,,3.30,5.60,7.68,3.65,2.93,11.50,1.50,9.50,4.76,2.80,0.50,3.80
September,2.11,6.17,3.99,2.54,3.72,3.64,2.63,0.78,3.29,5.45,6.69,2.42,-999.00,2.05,1.90,0.78,4.90,3.36,-999.00,2.10,2.30,1.85,3.20,4.89,-999.00,0.90,4.21
October,3.39,4.47,2.64,3.74,5.32,8.76,5.56,6.03,2.96,1.67,5.60,3.70,1.42,0.86,1.40,3.78,2.30,2.75,-999.00,3.38,5.27,3.50,2.70,,-999.00,2.90,13.05
November,4.21,6.36,5.03,3.92,3.92,3.52,5.73,4.08,1.97,5.36,6.40,2.54,9.22,3.28,1.08,8.50,8.70,7.46,-999.00,3.20,8.00,3.72,3.80,,1.30,5.81,6.23
December,6.81,3.88,2.83,8.22,6.78,2.70,4.98,1.19,3.33,2.21,2.95,3.01,5.17,2.96,3.46,3.90,-999.00,4.00,3.70,2.17,2.33,5.00,4.02,3.12,4.70,11.83,5.90
Total,39.51,43.46,42.89,46.02,41.54,49.39,42.37,37.07,40.34,32.60,45.42,39.84,47.78,37.13,,33.39,,50.43,43.42,,50.63,34.12,46.88,,39.60,38.57,57.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/037,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/218,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/042,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for the following periods are apportioned:,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - February-March 1937,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-February 1940,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-March 1942 (also part-estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,
# - February-March 1944,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-February 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - August-September 1946,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - December 1950-January 1951,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# - January-February 1952, May-July 1952, September-November 1952",,,,,,,,,,,,,,,,,,,,,,,,,,,
# - February-March 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - September-October 1958,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The following readings are estimates and have been omitted:,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - August 1948,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-February 1950,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - July 1953,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - October-November 1957,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings January-March 1947 are estimated for snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for May 1947 is part-estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for October 1950 is part-estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for December 1955 is part-estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for October 1956 is part-estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1950s sheet gives the location as Round Crag.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
