READING-EAST-THORPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU723727,Long,-0.96098065,Lat,51.448681,Elevation,157,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.28,2.3,2.51,2.63,3.38,2.61,0.77,0.84,2.74,1.59,0.46,1.55,2.61,2.38,0.48,2.15,0.79,2.95,2.91,,,,,,,,,
February,,,1.56,3.82,1.49,2.46,0.56,0.76,1.12,1.96,0.74,0.06,1.35,2.98,1.72,0.08,0.44,2.91,1.34,2.78,4.27,,,,,,,,,
March,,,1.03,0.73,1.61,2.05,1.37,1.83,3.11,1.74,1.22,1.65,0.9,0.17,1.21,1.45,3.09,3.6,0.72,0.81,0.9,,,,,,,,,
April,,,3.26,1.18,1.8,1.72,1.46,1.06,1.77,2.04,1.65,0.79,0.83,0.09,1.66,1.32,0.67,1.47,1.46,2.6,0.77,,,,,,,,,
May,,,1.61,1.86,0.47,2.39,4.25,1.32,1.18,2.77,1.87,2.96,1.15,1.18,1.65,0.37,0.26,1.06,2.28,1.21,1.25,,,,,,,,,
June,,,2.13,2.96,2.86,1.73,0.49,1.34,2.2,1.08,2.69,1.14,1.31,0.63,2.37,0.46,2.89,2.04,1.65,2.26,2.29,,,,,,,,,
July,,,2.18,3.08,2.75,0.12,2.42,1.38,5.96,1.54,4.53,2.32,3.05,2.82,3.12,3.3,0.6,0.4,0.51,0.22,0.85,,,,,,,,,
August,,,1.75,0.96,0.94,0.58,0.8,1.59,1.59,1.93,2.58,4.61,3.34,1.71,3.23,2.63,2.48,2.72,1.24,1.22,2.32,,,,,,,,,
September,,,2.17,2.94,1.44,4.57,1.49,2.19,1.36,1.4,1.06,1.56,2.87,0.91,2.33,1.35,6.42,2.05,1.14,1.96,0.52,,,,,,,,,
October,,,5.35,1.5,0.99,3.65,3.23,1.69,1.3,3.35,1.19,7.82,3.75,2.79,4.56,3.09,2.56,1.14,3.81,1.79,2.61,,,,,,,,,
November,,,2.81,2.47,1.92,3.05,3.79,3.19,4.2,0.75,2.06,2.1,1.98,1.99,4.36,4.03,0.97,0.8,2.73,3.44,2.07,,,,,,,,,
December,,,2.18,0.52,2.53,1.28,4.42,1.53,1.58,1.34,0.73,3.92,1.05,2.41,2.21,2.24,3.53,3.44,2.37,1.36,3.25,,,,,,,,,
Total,,,27.31,24.32,21.31,26.23,27.66,20.49,26.14,20.74,23.06,30.52,22.04,19.23,31.03,22.7,24.39,23.78,20.04,22.6,24.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is East Thorpe. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
