"READING EAST THORPE",,,,,,,,,,,,
Grid ref,SU723727,Long,-0.960981,Lat,51.448681,,,,,,,
Station no,RR2999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.91,,,,,,,,,,,
February,4.27,,,,,,,,,,,
March,0.90,,,,,,,,,,,
April,0.77,,,,,,,,,,,
May,1.25,,,,,,,,,,,
June,2.29,,,,,,,,,,,
July,0.85,,,,,,,,,,,
August,2.32,,,,,,,,,,,
September,0.52,,,,,,,,,,,
October,2.61,,,,,,,,,,,
November,2.07,,,,,,,,,,,
December,3.25,,,,,,,,,,,
Total,24.01,,,,,,,,,,,
Calc annual,24.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
