WEEDON-LICHBOROUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP630542,Long,-1.0799925,Lat,52.182461,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,3.1,1.8,3.52,2.73,1.1,1,3.19,2.58,1.31,2.27,2.01,3.84,1.46,3.03,0.86,2.91,3.7,0.97,0.78,2.29,2.88,0.74,4.19,1.05,1.24,0.9,2.25,0.78,4.03,3.82,0.79,2.78,1.1,1.76,2.38,3.43,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.76,3.6,0.81,0.6,1.59,1.96,1,0.08,1.34,3.05,2.51,0.14,0.86,3.5,0.96,2.98,5.64,1.35,1.58,1.18,4.39,0.77,2.1,1.18,0.88,0.52,3.29,1.17,2.19,0.89,1.9,3.25,4.22,1.25,1.03,3.01,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.87,1.04,1.79,1.85,3.82,3.03,1.95,1.34,0.93,0.4,1.65,2.96,3.41,4.63,1.04,0.89,0.65,2.15,1.29,3.07,1.97,3.02,1.46,1.18,3.68,2.46,0.61,2.16,2.97,2.96,3.08,1.17,4.64,2,0.79,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.99,2.77,2.57,1.55,2.21,2.96,1.6,1.74,0.92,0.24,2.22,1.77,1.87,1.84,2.01,2.68,1.19,2.68,1.48,1.97,1.12,1.46,0.67,2.54,3.71,1.7,1.65,1.02,0.16,3.01,0.93,0.88,1.36,2.3,3.14,,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.3,2.26,5.6,3.04,1.38,4.02,2.02,3.95,1.57,1.9,2.16,0.87,0.32,1.21,4.19,2.01,1.74,1.24,1.98,3.17,2.53,1,1.55,4.74,2.24,1.63,2.24,1.64,2.39,1.81,1.1,2.21,1.88,2.02,2.6,,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.12,2.79,1.02,1.77,2.15,1.22,2.38,2.8,2.33,0.92,2.8,0.89,3.32,3.23,0.94,0.97,2.88,1.36,2.97,3.9,0.64,3.25,3.56,2.22,1.42,3.68,1.36,1.41,3.46,0.7,3.26,0.7,1.99,1.54,0.78,,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.14,0.4,3.44,0.72,6.24,2.66,4.35,2.29,2.35,3.36,4.2,3.53,1.84,0.39,1.28,0.96,1.64,2.88,1.55,3.22,3.8,0.28,0.54,2.7,2.18,2.76,2.16,0.19,3.31,1.25,1.54,3.5,3.49,1.58,2.6,,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.17,2.07,1.43,1.11,2.98,2.52,2.06,4.75,2.62,2.79,3,1.91,2.81,5.32,2.13,1.14,3.48,1.72,3.03,3.42,2.5,3.52,0.95,2.14,3.03,2.85,2.84,2.64,7.34,0.52,1.57,2.37,3.04,4.48,1.99,2.29,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.07,4.57,1.92,3.01,1.08,2.48,1.25,1.19,3.98,1.15,2.49,0.86,6.51,3.01,0.71,2.74,0.74,1.36,1.44,2.48,2.89,1.39,1.33,0.77,1.7,3.08,0.58,1.51,1.18,1.94,1.16,1.97,0.81,1.78,4.85,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.39,4.31,4.9,2.54,0.55,3.93,2.07,7.07,4.17,3.1,3.43,3.36,4.45,1.99,3.42,2.75,1.93,1.21,2.34,6.9,0.91,0.93,5.03,5.17,1.12,3.49,,2.25,2.49,6.48,2.4,1.94,2.76,3.24,1.5,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
