CONSETT MEDOMSLEY,,,,,,,,,,,,
Grid ref,NZ1229252665,Long,-1.810001,Lat,54.868612,,,,,,,
Station no,RR8707,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.58,1.29,0.94,,
February,,,,,,,,1.01,1.81,1.85,,
March,,,,,,,,0.99,3.42,4.57,,
April,,,,,,,,2.21,2.75,2.05,,
May,,,,,,,,3.21,2.33,1.86,,
June,,,,,,,,2.31,0.47,3.19,,
July,,,,,,,,1.93,2.49,2.21,,
August,,,,,,,,1.77,1.96,3.88,,
September,,,,,,,,0.41,2.32,1.92,,
October,,,,,,,,6.93,1.70,1.84,,
November,,,,,,,3.49,1.45,1.27,0.62,,
December,,,,,,,1.87,2.98,0.52,2.96,,
Total,,,,,,,,25.78,22.33,27.89,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.36,25.78,22.33,27.89,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
