CONSETT MEDOMSLEY MANOR HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ121545,Long,-1.8129164,Lat,54.885106,Elevation,773,ft,,,,,,,,,,,,
Station no,RR8707,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.58,1.29,0.94,1.83,,,,,,,,,
February,,,,,,,,1.01,1.81,1.85,2.71,,,,,,,,,
March,,,,,,,,0.99,3.42,4.57,0.8,,,,,,,,,
April,,,,,,,,2.21,2.75,2.05,2.65,,,,,,,,,
May,,,,,,,,3.21,2.33,1.86,1.95,,,,,,,,,
June,,,,,,,,2.31,0.47,3.19,1.63,,,,,,,,,
July,,,,,,,,1.93,2.49,2.21,3.12,,,,,,,,,
August,,,,,,,,1.77,1.96,3.88,,,,,,,,,,
September,,,,,,,,0.41,2.32,1.92,,,,,,,,,,
October,,,,,,,,6.93,1.7,1.84,,,,,,,,,,
November,,,,,,,3.49,1.45,1.27,0.62,,,,,,,,,,
December,,,,,,,1.87,2.98,0.52,2.96,,,,,,,,,,
Total,,,,,,,,25.78,22.33,27.89,,,,,,,,,,
