"PORTRUSH",,,,,,,,,,,,
Grid ref,IC857407,Long,-6.654499,Lat,55.206153,,,,,,,
Station no,RR4187,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.68,2.99,4.28,4.46,2.40,3.34,,
February,,,,,2.17,1.55,2.43,4.13,0.80,3.32,,
March,,,,,0.96,1.24,2.99,1.24,2.37,1.39,,
April,,,,,1.99,0.94,1.21,1.80,4.12,2.43,,
May,,,,3.12,3.09,1.06,1.16,2.39,1.00,1.85,,
June,,,,2.67,3.40,2.71,1.80,4.32,1.80,2.58,,
July,,,,2.92,0.68,3.89,5.66,3.88,4.88,5.43,,
August,,,,2.30,0.63,4.33,2.81,4.35,0.89,8.27,,
September,,,,3.64,4.57,3.66,4.83,2.16,1.23,2.60,,
October,,,,4.81,3.45,2.71,3.25,3.14,3.93,2.82,,
November,,,,5.56,1.20,2.63,3.18,2.19,3.56,2.77,,
December,,,,4.61,4.12,3.21,2.50,3.22,4.25,4.84,,
Total,,,,,29.94,30.92,36.10,37.28,31.23,41.64,,
Calc annual,0.00,0.00,0.00,29.63,29.94,30.92,36.10,37.28,31.23,41.64,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
