"MERSTHAM, GATTON POINT",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,125,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,2.55,,1.41,4.21,
February,,,,,,,,4.58,,0.48,0.97,
March,,,,,,,,3.72,,0.02,3.05,
April,,,,,,,,2.19,,0.97,1.90,
May,,,,,,,,1.22,,2.47,2.92,
June,,,,,,,,4.74,,1.45,0.52,
July,,,,,,,,2.85,,2.14,3.59,
August,,,,,,,,4.62,,2.39,3.04,
September,,,,,,,,5.64,,0.14,3.86,
October,,,,,,,,2.13,,3.87,1.81,
November,,,,,,,,3.05,,7.27,5.00,
December,,,,,,,,5.39,,7.77,2.25,
Total,,,,,,,,42.68,,30.38,33.12,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.68,0.00,30.38,33.12,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,0.00,
