APPLECROSS GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG723456,Long,-5.79622,Lat,57.443433,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.88,9.91,2.4,7.57,5.82,2.98,7.5,9.02,7.73,6.48,6.35,5.5,6.08,6.59,2.99,4.78,1.33,3.09,4.14,7.1,4.33,3.32,6.52,5.63,4.8,11.99,4.99,7.22,6.35,5.5,3.94,5.87,3.81,5.25,5.22,6.23,4.8,4.58,7.45,6.42,4.22,8.84,5.34,5.55,5.45,4.18,3.69,4.74,4.36,5.37,9.92,7.91,5.45,6.76,4.7,8,8.37,7.65,8.2,5.02,6.86,7.27,8.95,10.83,2.97,5.94,7.12,9.58,7.35,7.1,8.08,4.66,7.29,9.16,3.47,1.5,2.71,6.41,6.32,8.82,6.45,6.78,4.95,5.46,8.89,5.1,8.45,8.03,,5.42,3.74,5.83,9.97,10.4,6.33,4.97
February,,,,,,2.93,7.69,5.72,10.85,9.08,3.32,3.97,6.18,1.43,1.88,2.59,4.07,6.54,3.36,2.73,6.89,4.42,4.86,5.8,5.57,7.42,3.97,5.68,2.9,5.66,1.48,2.81,2.97,4.79,5.77,3.21,4,3.45,7.99,2.8,3.3,4.31,3.26,10.23,4.36,6.04,6.92,7.57,7.35,2.74,6.62,5,5.4,4.1,7.4,6.15,7.53,0.98,7.53,1.33,7.38,2.6,7.57,3.52,4.5,7.35,4.84,3.97,4.56,1.3,0.94,6.3,1.65,4.72,3.09,6.7,2.62,5.38,5.1,6.39,3.12,4.89,4.15,8.01,3.27,5.33,5.95,0.14,5.38,6.79,5.79,4.6,4.26,,4.42,5.08,4.29,4.09,6.34,2.43,5.52
March,,,,,,4.64,3.67,1.81,8.29,4.69,1.35,4.41,1.85,2.36,6.16,2.71,8.18,3.75,4.23,4.69,2.07,3.34,6,1.04,3.4,4.27,3.1,2.25,3.73,4.48,4.91,3.88,2.15,1.62,4.88,5.81,9.15,5.86,5.11,4.45,2.05,4.2,7.15,7.9,3.24,6.43,4.45,6.35,8.34,1.88,8.34,3.7,4.34,6.35,4.29,4.67,3.05,3.8,2.65,5.05,6.22,7.4,4.7,2.8,1.15,5.28,4.35,6.07,5.22,0.72,3.95,0.7,4.59,2.95,3.57,4.71,2.94,2.76,7.92,5.33,4.32,2.72,2.22,3.73,5.14,4.53,3.67,2.05,4.9,3.89,5.06,3,4,,4.28,2.25,1.31,4.36,5.06,,1.98
April,,,,,,3.11,2.28,7.64,3.6,3.3,6.68,1.72,3.4,2.26,4.61,1.96,3.26,1.56,2.41,0.56,4.28,1.5,3.57,1.72,0.72,1.66,4.18,2.8,3.67,1.35,2.91,1.32,1.69,1.31,0.99,3.85,5.91,2.9,3.56,3.6,4.5,5.05,2.43,3,6.91,3,3.36,4.35,3.35,4.18,6.95,4.6,4.01,4.98,4.81,5.06,3.84,3.9,2.35,8.45,4.6,3.2,5.7,4.53,4.1,4.4,4.54,7.78,3.94,3.56,2.44,2.54,5.58,4.53,5.34,3.38,2.52,2.04,1.88,3.52,3.95,3.06,1.56,5.55,3.38,2.94,3.79,7.11,4.92,5.47,6.12,5.36,3.99,7.23,2.53,4.06,2.55,3,2.68,,4.62
May,,,,,,3.19,2.24,3.05,3.92,2.03,3.71,1.76,4.45,1.49,3.19,4.6,2.29,3.38,3.2,3.28,2.14,1.98,3.01,3.05,5.46,3.65,3.21,2.27,2.65,3.5,2.49,3.4,4.21,3.05,5.55,1.41,2.07,4.04,5.19,2.27,5,0.96,4.2,2.73,3.5,2.78,4.25,3.07,2.29,3.1,4.25,2.95,3.11,3.42,4,0.96,3.45,2.98,2.92,0.75,4.92,3.77,5.33,7.75,3.03,5.15,4.75,3.75,2.4,3.59,2.42,2.98,2.47,1.63,4.93,2.11,2.48,3.03,4.28,1.7,2.19,0.97,1.89,3.66,3.66,3.33,1.42,1.95,2.3,4.09,1.57,1.97,3.73,3.65,4.43,3.47,3.45,2.52,4.26,,2.06
June,,,,,,1.69,1.88,4.17,5.41,2.41,3.11,2.47,8.2,3.44,2.68,2.73,4.61,6.71,1.78,2.05,1.93,5.04,3.42,3.12,2.4,2.71,3.61,1.58,2.04,0.6,2.67,2.72,3,0.91,3,2.6,4.63,2,2.53,2.6,3.75,2.04,1.74,2.22,5,1.15,1.76,5.62,4.73,1.5,3.6,4.37,3.59,5.02,2.12,0.91,6,3.98,5.23,8.41,2.37,2.33,3.72,3.72,4.86,2.25,2.48,5.61,3.77,3.72,3.18,3.84,1.74,3.72,2.25,3.57,1.93,3.37,6.88,2.06,2.36,0.81,4.03,3.04,4.95,5.28,5.96,3.34,4.69,2.44,4.67,3.41,3.86,2.95,5.08,3.68,2.7,2.14,1.63,,7.12
July,,,,,,3.93,3.27,1.97,1.94,3.04,3.85,4.67,3.62,4.74,3.35,3.44,4.59,4.72,2.6,6.93,2.29,6.06,5.04,3.09,5.72,2.51,4.45,2.13,3.41,1.42,5.31,5.64,2.67,4.85,5.69,4.73,4.58,3.58,4.45,2.47,3.28,3.8,3.52,3.7,2.59,3.38,5,4.57,1.76,6,4.24,6.51,4,1.53,4.5,3.6,2.99,1.15,7.16,1.75,4.65,3.65,4.03,5.1,4.38,2.72,4.52,3.59,4.83,3.43,1.38,5.21,5.08,4.35,5.72,3.38,5.63,3.49,4.77,5.67,6.69,4.64,5.57,3.8,1.7,4.6,7.74,3.55,4.65,2.61,5.06,5.43,,8.71,5.01,0.4,8.23,4.33,3.1,8.4,4
August,,,,,,5.03,6.54,3.93,6.85,4.45,1.98,4.17,3.25,5.38,5.01,5.66,3.24,3.54,3.84,5.1,1.95,5.14,4.43,6.74,4.24,1.72,3.35,3.6,3.96,6.55,6,5.51,5.75,4.4,4.51,5.45,6.19,3.52,4.5,2.72,6.25,4.2,3.7,7.31,6.01,4.5,5.43,5.08,5.11,4.02,6.15,4.21,4.72,1.9,4.8,3.49,2.3,4.4,7.9,6.47,3.88,3.5,4.56,7.05,7.45,4.14,4.05,4.65,3.03,5.98,7.04,1.35,3.22,8.15,5.74,5.03,4.78,3.42,4.83,3.44,7.22,8.03,8.91,5.16,3.75,2.87,4.11,0.06,6.08,8.04,6.38,6.4,,7.12,2.55,1.51,4.25,3.77,4.23,4.08,6.12
September,,,,,,5.16,5.83,4.64,1.46,7.24,5.33,2.86,9.42,4.83,8.9,4.59,1.8,3.61,6.27,8.34,3.66,1.73,5.07,4.16,2.81,8.54,4.08,4.23,3.32,3.41,5.92,6.28,6.86,7.98,1.15,4.3,6.22,8.03,6.64,7.07,6.85,3.4,4.55,6.26,5.83,7.68,4.17,1.72,9.93,3.75,2.45,5.6,1.89,2.86,6.28,3.98,2.8,6.05,9.33,8.66,3.56,3.9,3.19,7.09,7.14,7,4.48,8.38,4.45,4.67,2.97,1.96,8.43,1.65,8.75,9.24,4.11,4.89,5.39,3.81,5.79,3.75,6.67,5.43,5.42,6.36,5.58,6.81,8.96,5.15,11.18,5.4,,4.05,6.22,7.78,2.75,6.69,3.74,3.98,4.09
October,,,,,,6.18,4.86,9.08,7.48,6.17,6.23,7.77,9.79,7.61,9.23,3.38,2.49,10.72,6.68,4.11,2.14,2.65,3.22,6.57,7.56,4.83,4.56,4.24,9.21,4.13,9.88,7.52,9.98,8.14,3.13,9.9,8.12,4.25,3.29,8.35,5.72,7.42,7.86,10.35,5.02,7.87,6.1,3.92,2.61,8.93,4,3.1,7.2,5,2.4,2.05,7.71,13.09,6.77,5.24,1.97,5.47,1.55,9.66,5.21,5.76,7.81,7.35,7.35,9.41,7.66,6.2,10.53,7.96,8.81,9.05,7.08,2.98,11.23,1.39,6.01,6.68,8.68,8.64,9.61,5.3,0.65,3.27,7.94,8.21,6.66,5.03,,5.15,9.18,10.21,4.75,5.45,7.5,8.5,2
