SUTTON ST JAMES - CLIFTON'S BRIDGE,,,,,,,,,,,,,,,
Grid ref,TF378189,Long,0.040,Lat,52.750,Elevation,8,ft,,,,,,,
Station no,2525/2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.17,3.17,0.95,0.97,2.08,1.43,0.74,1.18,1.82,3.36,0.87,2.99,2.60,3.01
February,,1.37,0.47,0.47,2.98,2.48,0.37,1.28,1.66,1.91,0.71,3.17,2.52,0.21,1.71
March,,3.61,0.41,0.68,0.49,3.00,2.62,0.78,1.59,1.57,0.57,1.85,1.27,1.82,1.39
April,1.15,1.75,0.77,1.59,2.27,2.44,1.11,1.78,0.26,0.82,0.95,0.21,0.63,1.06,0.24
May,1.24,0.28,3.08,1.90,2.50,3.06,1.94,1.87,2.43,2.44,0.90,1.58,2.58,0.55,0.65
June,1.70,2.72,2.31,0.64,1.28,0.91,1.09,3.71,2.51,1.86,2.06,2.63,3.95,0.90,1.81
July,2.11,2.22,0.97,2.50,2.66,0.77,0.30,1.29,1.98,0.53,2.02,2.24,3.70,2.26,2.01
August,2.92,0.04,2.87,1.70,2.09,3.57,2.17,2.16,3.13,1.05,3.93,2.05,3.04,1.08,2.90
September,2.88,0.79,1.74,0.69,2.71,1.59,2.48,0.97,1.61,1.22,1.31,3.15,2.34,0.16,2.29
October,1.96,0.23,1.89,2.61,0.62,1.02,1.72,1.93,1.45,1.73,0.85,1.18,1.63,0.93,3.69
November,3.86,1.06,1.38,2.08,3.78,2.68,2.39,1.27,3.40,1.00,0.75,1.56,0.93,1.13,3.45
December,1.95,1.54,1.29,1.26,1.05,1.14,1.49,0.70,1.53,1.31,1.17,1.89,2.10,3.28,3.26
Total,,16.78,20.35,17.07,23.40,24.74,19.11,18.48,22.73,17.26,18.58,22.38,27.68,15.98,26.41
,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/156,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/152,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# The station continued until 1966 according to MIDAS. (MIDAS src_id = 4251),,,,,,,,,,,,,,,
