"SUTTON ST. JAMES (CLIFTON'S BRIDGE)",,,,,,,,,,,,
Grid ref,TF378189,Long,0.040184,Lat,52.750155,,,,,,,
Station no,2525/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.08,1.43,0.74,1.18,1.82,3.36,0.87,2.99,2.60,3.01,,
February,2.48,0.37,1.28,1.66,1.91,0.71,3.17,2.52,0.21,1.71,,
March,3.00,2.62,0.78,1.59,1.57,0.57,1.85,1.27,1.82,1.39,,
April,2.44,1.11,1.78,0.26,0.82,0.95,0.21,0.63,1.06,0.24,,
May,3.06,1.94,1.87,2.43,2.44,0.90,1.58,2.58,0.55,0.65,,
June,0.91,1.09,3.71,2.51,1.86,2.06,2.63,3.95,0.90,1.81,,
July,0.77,0.30,1.29,1.98,0.53,2.02,2.24,3.70,2.26,2.01,,
August,3.57,2.17,2.16,3.13,1.05,3.93,2.05,3.04,1.08,2.90,,
September,1.59,2.48,0.97,1.61,1.22,1.31,3.15,2.34,0.16,2.29,,
October,1.02,1.72,1.93,1.45,1.73,0.85,1.18,1.63,0.93,3.69,,
November,2.68,2.39,1.27,3.40,1.00,0.75,1.56,0.93,1.13,3.45,,
December,1.14,1.49,0.70,1.53,1.31,1.17,1.89,2.10,3.28,3.26,,
Total,24.74,19.11,18.48,22.73,17.26,18.58,22.38,27.68,15.98,26.41,,
Calc annual,24.74,19.11,18.48,22.73,17.26,18.58,22.38,27.68,15.98,26.41,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
