"ULPHA, DUDDON W. WKS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD209947,Long,-3.218204,Lat,54.341692,Elevation,251,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3658/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.05,7.9,5.26,8.21,5.1,10.24,8.23,10.48,11.78,5.68,3.5,12.46,14.13,9.67,6.64,12.04,8.96,13.29,7.13,6.14,8.81,7.32,6.21,6.54,6.08,6.23,8.4,10.03,4.84,12.67
February,7.15,0.2,5.83,0.58,11.16,3.23,13.06,4.09,9.68,2.81,6.91,3.79,6.05,4.02,8.27,6.46,1.96,5.84,5.93,7.99,8.58,3.28,2.94,6.97,2.92,1.07,7.15,12.35,3.11,14.32
March,1.02,5.49,5,5.48,2.08,5.85,4.87,3.53,7.3,8.29,4.78,6.75,2.33,1.14,5.09,4.15,13.23,4.61,5.58,5.87,7.72,6.84,1.27,6.58,2.97,2.8,6.51,2.51,5.24,2.38
April,4.33,5.34,3.29,3.88,6.54,1.37,5.22,1.35,5.05,3.89,3.89,3.48,4.74,4.52,4.05,2.44,7.83,4.35,8.11,5.66,3.74,5.77,5.49,2.01,4.95,1.37,2.17,2.68,4.84,6.13
May,3.44,5.96,3.51,4.37,1.26,1.26,2.65,7.33,1.11,1.41,5.33,5.54,6.27,4.53,5.33,1.97,5.05,3.74,3.55,2.92,3.53,4.26,3.75,4.59,5.24,4.89,5.1,5.68,1.59,4.37
June,7.81,2.59,4.51,2.25,5.45,5.8,4.57,8.03,5.47,1.55,0.94,1.55,5.54,7.75,6.18,7.1,4.37,10,1.22,4.46,1.72,5.68,3.18,7.92,5.28,3.27,3.24,4.73,5,3.29
July,7.05,6.59,5.41,1.86,4.21,7.65,4.44,12.09,11.53,7.84,3.01,6.75,5.37,4.51,5.64,7.36,5.03,5.09,4.16,6.44,6.41,4.94,9.73,9.16,4.43,8.18,7.38,5.63,4.75,11.66
August,4.04,1.59,4.58,6.5,4.16,5.84,5.93,5.76,3.26,3.46,8.27,8.69,12.72,6.88,2.2,6.54,0.12,8.29,4.56,11.32,9.17,9.19,8.17,8.63,3.35,14.21,6.83,9.01,0.9,6.73
September,2.55,7.78,1.05,8.48,12.39,7.61,6.39,6.6,3.67,7.95,3.13,7.46,10.11,10.35,6.93,12.45,6.18,8.85,3.73,17.47,10.73,5.5,11.37,11.84,5.88,5.69,13.17,9.11,1.96,5.93
October,4.65,12.17,5.29,9.15,12.6,7.02,3.9,17.18,3.34,8.59,9.25,10.78,9.04,9.09,8.43,1.3,1.35,7.47,10.17,7.56,1.47,6.81,3.55,16.46,4.61,8.2,9.32,8.9,9.51,5.19
November,13.49,3.98,3.62,2.15,7.48,10.22,2.96,12.98,10.81,10.37,5.29,2.5,6.3,12.18,0.73,14.66,10.71,6.86,10.25,7.25,14.7,3.35,14.87,18.02,4.24,3.07,4.29,3.88,9.94,14.15
December,7.31,6.74,2.01,10.8,7.96,10.51,6.69,8.39,4.49,11.61,5.42,11.32,4.5,7.68,6.06,11.2,5.29,8.31,11.29,4.72,14.26,9.39,6.16,10.49,10.7,11.32,10.57,6.77,15.3,8.35
Total,70.89,66.33,49.36,63.71,80.39,76.6,68.91,97.81,77.49,73.45,59.72,81.07,87.1,82.32,65.55,87.67,70.08,86.7,75.68,87.8,90.84,72.33,76.69,109.21,60.65,70.3,84.13,81.28,66.98,95.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Jan new gauge 150' west of old one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
