TALYBONT-FFYNONWEN-PANTY-RHIW,,,,,,,,,,,,,,,,,,,
Grid ref,SO100186,Long,-3.3082704,Lat,51.858702,Elevation,587,ft.,,,,,,,,,,,
Station no,4183,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
January,,,,,,,,,6.07,8.24,10.27,8.65,6.56,3.91,7.07,,9,7.25,12.49
February,,,,,,,,1.08,5.21,4.48,3.56,0.18,8.9,14.1,0.65,11.99,4.43,3.85,7.56
March,,,,,,,,4.22,3.9,7.47,8.21,7.37,6.58,1.88,3.04,1.37,1.43,6.5,6.38
April,,,,,,,,3.47,3.03,3.06,11.04,1.3,4.56,5.03,5.76,5.03,3.79,1.94,2.03
May,,,,,,,,4.37,2.71,0.63,4.3,2.04,1.52,3.43,4.82,6.17,2.58,2.07,0.56
June,,,,,,,,3.61,1.52,2.34,4,0.4,1.31,0.91,2.59,0,2.14,4.68,5.07
July,,,,,,,,3.46,5.89,1.47,8.69,2.56,6.79,2.63,6.58,2.89,2.84,5.05,3.67
August,,,,,,,,12.68,2.39,3.85,2.03,6.14,3.96,3.87,7.09,,5.12,9.15,4.76
September,,,,,,,,3.16,11.29,2.97,5.14,3.19,3.28,4.53,9.62,4.52,1.98,6.86,2.06
October,,,,,,,,9.51,4.42,2.19,5.47,2.1,1.52,9.63,7.58,7.79,6.34,6.61,12.07
November,,,,,,,,3.3,5,3.8,3.54,4.16,2.43,4.84,4.99,3.51,13.79,4.98,11.81
December,,,,,,,,1.42,10.3,11.55,9.36,6.07,8.33,3.87,10.35,5.61,0.44,3.96,6.8
Total,,,,,,,,,61.73,52.05,75.61,44.16,55.74,58.63,70.14,,53.88,62.9,75.26
,,,,,,,,,,,,,,,,,,,
NGR is Panty-Rhiw. Altitudes match. Gauge moved sometime before Jan 1929 to Ffynonwen but no exact date given. Assumed end ot 1928 for this record,,,,,,,,,,,,,,,,,,,
