SOUTH-MOLTON-(VICARAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SS713264,Long,-3.8363,Lat,51.0226,Elevation,515,ft,,,,,,,,,,,,
Station no,RR2962,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,3.94,5.04,1.83,2.46,1.77,7.07,5.52,,,,,,,,,
February,,,,,3.54,0.57,0.81,5.56,4.33,3.32,5.87,,,,,,,,,
March,,,,,3.4,3.83,8.07,6.75,1.43,1.37,1.36,,,,,,,,,
April,,,,,2.12,1.74,1.37,5.1,1.95,4.21,2.21,,,,,,,,,
May,,,,,3.75,0.2,0.07,1.7,4.37,3.33,1.51,,,,,,,,,
June,,,,,2.46,1.61,1.63,2.87,2.55,1.5,3.15,,,,,,,,,
July,,,,,5.89,5.86,1.87,1.58,0.61,1.03,0.85,,,,,,,,,
August,,,,,4.88,4.74,2.45,5.45,3.3,2.51,3.95,,,,,,,,,
September,,,,,2.29,0.93,7.9,5.33,1.7,3.49,1.69,,,,,,,,,
October,,,,,6.53,5.33,4.53,1.46,6.48,4.75,8.26,,,,,,,,,
November,,,,,7.13,6.76,1.67,2.9,4.81,4.06,5.05,,,,,,,,,
December,,,,,4.68,6.34,5.84,6.39,6.01,4.62,6.49,,,,,,,,,
Total,,,,,50.61,42.95,38.04,47.55,39.31,41.26,45.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Exact location with respect to building unknown, but alt matches here",,,,,,,,,,,,,,,,,,,,
