"SOUTH MOLTON",,,,,,,,,,,,
Grid ref,SS717259,Long,-3.830526,Lat,51.018120,,,,,,,
Station no,RR2962,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.26,5.42,2.54,8.54,2.95,,,,
February,,,,3.36,6.06,2.70,5.56,2.37,,,,
March,,,,6.01,2.63,5.75,3.80,1.64,,,,
April,,,,2.95,2.32,3.07,1.88,5.22,,,,
May,,,,2.38,3.67,0.18,3.96,3.75,,,,
June,,,,1.77,1.21,3.80,1.46,4.46,,,,
July,,,,4.29,5.43,1.78,1.58,2.24,,,,
August,,,,4.22,3.14,5.33,3.82,3.84,,,,
September,,,,4.78,2.30,1.94,1.19,0.88,,,,
October,,,,12.22,2.93,3.57,6.05,7.01,,,,
November,,,,4.25,4.57,5.20,5.35,3.53,,,,
December,,,,6.16,3.86,1.93,5.21,5.87,,,,
Total,,,,58.65,43.54,37.79,48.40,43.76,,,,
Calc annual,0.00,0.00,0.00,58.65,43.54,37.79,48.40,43.76,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
