SOUTH-MOLTON-(EAST-STREET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS717259,Long,-3.8298,Lat,51.0184,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,5.42,2.54,8.54,2.95,,,7.56,2.42,5.91,8.57,2.03,6.07,3.38,2.18,5.75,6.03,6.05,5.55,4.7,4.64,6.06,4.8,,,,,
February,,,,,6.06,2.7,5.56,2.37,,,7.97,4.18,3.85,1.5,4.51,7.2,8.73,2.38,3.39,3.74,1.89,0.13,6.09,9.11,0.67,6.39,,,,,
March,,,,6.01,2.63,5.75,3.8,1.64,,,1.28,2.46,7.92,6.44,9.51,1.3,3.26,3.82,2.4,6.31,4.34,3.82,3.27,1.6,1.35,1.14,,,,,
April,,,,2.95,2.32,3.07,1.88,5.22,,,3.66,3.09,0.86,5.01,2.82,2.2,2.23,2.96,2.42,3.88,5.44,1.37,2.93,2.1,3.97,4.19,,,,,
May,,,,2.38,3.67,0.18,3.96,3.75,,,3.46,2.01,2.6,4.17,2.64,2.14,2.72,2.03,3.16,1.23,2.36,2.16,2.42,2.93,4.13,5.89,,,,,
June,,,,1.77,1.21,3.8,1.46,4.46,,,3.42,4.28,8.24,2.9,3.33,1.96,2.62,6.29,1.79,1.42,2.97,,1.91,1.03,3.16,0,,,,,
July,,,,4.29,5.43,1.78,1.58,2.24,,,4.1,0.52,3.59,0.94,4.43,5.7,1.89,3.84,5.32,2.96,6.59,1.04,3.04,2.62,4.87,4.54,,,,,
August,,,,4.22,3.14,5.33,3.82,3.84,,,6.76,2.3,13,2.23,3.69,3.91,4.34,8.49,4.75,3.86,2.15,2.78,5.63,4.15,7.03,3.18,,,,,
September,,,,4.78,2.3,1.94,1.19,0.88,,,0.4,3.37,1.34,2.08,2.97,1.53,3.32,2.39,8.48,2.7,3.25,2.4,3.43,3.43,6.12,4.94,,,,,
October,,,,12.22,2.93,3.57,6.05,7.01,,,6.87,6.05,6.66,4.27,3.58,4.31,7.65,7.39,2.59,2.53,3.93,,1.82,7.66,6.4,4.92,,,,,
November,,,,4.25,4.57,5.2,5.35,3.53,,,8.94,8.12,4.03,6.44,6.14,2.76,4.82,5.32,4.2,4.07,2.71,,1.39,4.36,3.39,3.34,,,,,
December,,,,6.16,3.86,1.93,5.21,5.87,,,6.91,11.81,7.22,5.03,7.67,10.75,4.02,1.84,9.23,9.48,3.48,,7.41,9.61,6.46,4.63,,,,,
Total,,,,,43.54,37.79,48.4,43.76,,,61.33,50.61,65.22,49.58,53.32,49.83,48.98,48.93,53.48,48.21,45.16,,44.04,53.24,53.61,47.96,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not exactly clear where gauge was. Obs lived at 32 East St, but had offices at 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Censuses suggest house was near Station Road. East St around this part is fairly flat at correct alt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903 Jan value removed as gauge moved in Feb – value was 6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903 Feb 26 Gauge moved 225 yards E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Corrected for wrong day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Nov 8th Gauge moved 4yrds N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922 – new obs – gauge might have done small move – offices were at 29, but can't find where he lived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Note says imperfect. Not clear why,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
