BRADFORD STUBDEN RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE057332,Long,-1.914951,Lat,53.79508,Elevation,1075,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,,,6.73,7.26,6.12,7.33,1.67,6.96,6.13,1.45,0.52,0.59,5.59,8.43,8.21,3.26,8,3,2.83,2.42,7.45,3.59,6.29,1.19,6.55,3.83,2.74,2.23,5.24,8.48,5.85,3.91,3.49,4.92,5.22,2.46,7.66,2.45,4.73,3.35,7.78,2.46,5.16,5.25,5.07,7.8,6.4,2.8,3.53,6.73,6.12,9.71,6.08
February,,,3.8,1.17,2.01,1.89,6.21,5.56,1.55,3.81,4.66,6.58,4.81,3.87,4.3,4.94,1.3,1.25,0.77,3.12,0.79,0.51,3.33,5.56,10.25,0.75,2.16,4.28,4.85,2.86,5.93,2.14,1.65,6.15,4.87,2.56,3.44,3.6,3.87,3.75,5.52,7.12,2.93,2.45,4.3,5.57,6.35,0.88,8.4,1.89,5.04,0.45,6.96
March,,,5.64,4.27,6.16,1.22,6.26,4.09,3.17,2.55,4.05,6.08,5.46,1.56,3.22,2.92,5.84,2.66,4.89,3.16,4.39,2.99,1.26,1.77,4.84,4.22,7.5,6.96,1.8,2.89,1.05,4.61,2.58,7.04,2.52,4.49,3.78,4.4,4.97,4.11,1.18,3.2,5.78,6.72,6.52,1.45,4.38,3.58,2.24,6.01,4.03,4.26,4.3
April,,,4.93,0.74,2.46,1.5,3.33,4.1,2.1,3.18,2.35,2.15,5.64,3.08,1.9,2.68,3.74,1.57,3.9,3.83,1.81,2.72,2.16,1.04,2.73,3.59,2.85,3.75,3.93,3.58,2.78,3.61,2.31,2.74,3.09,3.35,2.17,3.28,3.46,5.43,4.54,2.86,1.25,4.98,2.31,2.09,3.98,1.98,1.11,2.33,6.43,1.64,4.29
May,,,3.01,3.22,1.95,2.28,1.2,3.58,5.96,1.65,2.86,3.09,1.85,1.2,2.74,3.51,5.6,2.17,1.69,2.76,4.29,3.44,4.33,2.49,2.79,0.98,0.78,1.77,3.36,3.53,2.14,1.62,3.71,4.05,3.62,0.99,4.44,4.14,3.29,3.54,3.16,1.88,3.78,4.14,1.95,2.2,3,2.44,4.93,2.78,7.31,2.39,1.33
June,,,6.18,2.2,2.07,4.53,3.28,1.62,3.42,7.04,3.91,2.66,6.2,4.06,1.28,3.88,2.43,0.28,3.11,0.87,4.39,1.91,4.28,2.92,4.46,2.77,5.17,4.6,3.67,2.33,4.32,1.51,2.32,1.75,1.54,3,1.92,8.01,2.66,3.28,2.85,5.17,7.35,2.68,2.67,0.69,2.94,2.69,2.12,1.48,2.86,0.23,2.65
July,,,3.93,3.77,4.08,5.66,3.3,5.65,1.19,6.44,6.04,5.52,6.21,4.36,6.17,1.84,6.21,2.42,8.02,4.04,3.21,3.62,3.35,4.31,4.33,7.3,2.68,1.81,1.63,2.06,2.76,2.31,3.75,5.3,2.26,2.36,3.34,3.67,5.65,6.07,4.82,0.8,6.4,1.39,3.45,5.44,2.88,2.22,5.59,2.82,8.77,2.65,5.73
August,,,5.09,5.19,5.93,3.28,3.92,6.19,7.77,5.37,1.95,5.42,2.65,2.97,1.48,1.95,2.23,2.19,4.77,5.56,6.57,8.05,4.91,3.38,5.14,5.59,2.52,4.29,5.94,2,6.07,2.87,4.7,5.11,5.3,7.23,5.73,4.36,3.75,4,6.28,3.39,7.63,1.65,2.89,6.03,2.92,7.38,2.76,3.53,2.02,6.75,6.51
September,,,8.27,2.74,5.19,5.22,4.91,4.42,6.07,2.49,4.72,3.26,2.38,9,3.1,6.97,3.79,5.87,1.43,2.55,2.58,3.79,3.97,4.25,0.76,2.24,7.99,5.15,1.17,7.36,1.45,1.72,2.44,6.57,1.19,2.63,1.27,1.26,4.22,4.35,0.47,4.46,2.32,2.24,2.9,0.77,2.74,2.63,12.28,2.14,2.09,2.06,5.77
October,,,6.91,6.4,6.17,6.23,3.01,6.79,5.65,2.92,4.26,5.23,6.38,6.89,3.12,7.93,6.93,3.46,1.93,6.09,3.29,5.65,8.89,4.95,7.44,5.12,6.29,2.02,6.9,3.55,6.5,2.87,5.43,12.98,1.73,4.25,8.36,6.97,3.42,5.34,4.63,5.83,5.52,2.96,3.05,2.2,10.14,8.97,3.8,2.6,3.03,3.18,1.27
November,,,7.47,3.95,4.86,6.75,4.36,7.26,3.62,1.83,5.83,7.44,9.54,6.56,2.35,4.66,4.2,4.31,12.33,1.43,6.61,5.28,3.19,4.09,3.74,6.21,1.89,5.42,4.35,2.45,5.99,7.43,3.54,3.04,3.8,6.01,6.44,3.84,3.94,2.22,5.92,6.21,4.03,6.03,7.93,2.38,4.77,6.49,2.75,4.65,3.4,3.19,2.84
December,,,4.93,2.8,5.21,3.2,9.45,5.69,2.97,3.42,7.24,5.06,7.4,4.32,8.26,2.08,7.18,4.16,3.58,3.95,0.96,12.29,3.31,5.6,5.04,6.43,6.21,7.73,6.92,3.77,6.3,5.61,5.33,3.15,3.39,1.67,4.7,6.38,4.13,7.04,7.24,6.17,6.52,3.72,9.03,8.95,4.24,2.74,8.8,8.54,4.99,9.86,5.17
Total,,,66.89,43.71,52.21,49.09,50.9,61.91,49.6,42.15,48.39,53.08,64.11,56.3,46.13,46.62,57.45,33.34,49.25,39.78,46.34,53.84,49.27,41.55,58.07,49.03,48.78,50.01,49.76,44.86,51.14,40.21,41.25,62.8,38.53,41,53.25,52.36,48.09,52.48,54.39,49.55,58.67,44.21,52.07,45.57,54.74,44.8,58.31,45.5,56.09,46.37,52.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1912 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
