BRADFORD STUBDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE057332,Long,-1.914951,Lat,53.79508,Elevation,1075,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,3.25,3.24,4.54,4.82,2.08,6.98,2.28,4.55,3.1,7.19,2.13,5.14,5.27,5.11,7.58,5.89,2.6,3.34,6.32,5.67,9.05,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.98,1.59,5.48,4.42,2.23,3.26,3.39,3.68,3.53,5.72,6.59,2.87,2.4,4.3,5.54,6.11,0.86,7.95,1.8,4.75,0.42,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,4.23,2.37,6.45,2.37,4.07,3.55,4.07,4.78,3.95,1.15,3.06,5.84,6.66,6.38,1.35,4.23,3.46,2.14,5.74,3.77,4.03,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,3.43,2.17,2.54,2.88,3.2,2.06,3.1,3.38,4.66,4.02,2.62,1.26,4.86,2.29,1.97,3.5,1.88,1.08,2.21,6.04,1.54,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.52,3.39,3.89,3.44,0.91,4.15,3.93,3.2,3.2,3.09,1.83,3.76,4.14,1.95,2.16,2.85,2.41,4.77,2.7,7.06,2.32,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.44,2.21,1.63,1.45,2.86,1.88,7.43,2.56,3.08,2.72,4.6,7.28,2.67,2.58,0.68,2.82,2.58,2.03,1.4,2.8,0.22,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.12,3.49,5,2.17,2.25,3.2,3.51,5.41,5.49,4.37,0.73,6.41,1.39,3.4,5.42,2.79,2.18,5.51,2.74,8.4,2.6,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.67,4.36,4.78,5,6.81,5.48,4.17,3.56,3.65,6.02,2.94,7.6,1.62,2.88,5.96,2.84,7.09,2.68,3.36,1.96,6.61,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.73,2.25,5.87,1.12,2.48,1.2,1.19,3.96,4.1,0.46,3.89,2.32,2.24,2.99,0.75,2.57,2.41,11.73,2.05,2.01,1.89,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.75,5.04,12.12,1.62,3.92,8.01,6.59,3.18,4.96,4.29,5.13,5.53,2.96,3.05,2.19,9.88,8.37,3.53,2.47,2.9,3.03,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,6.54,3.23,2.65,3.27,5.69,6.02,3.67,3.83,2.11,5.61,5.54,4.02,6.07,7.91,2.18,4.56,5.86,2.48,4.56,3.23,3.09,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,5.27,4.85,2.56,3.19,1.51,4.5,6.06,3.92,6.79,6.86,6.79,6.51,3.75,9.04,8.99,3.97,2.53,8.1,8.42,4.82,8.53,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,36.93,38.19,57.51,35.75,38.01,50.29,49.39,46.01,48.62,51.5,45.85,58.54,44.03,51.88,44.77,52.01,42.23,55.34,43.77,53.41,43.33,49.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
