BRADFORD STUBDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE057332,Long,-1.914951,Lat,53.79508,Elevation,1071,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,0.59,5.31,8.06,8.04,3.21,8.03,3.02,2.38,2.31,6.95,3.29,5.24,1.13,6.05,3.66,1.91,1.96,4.4,6.52,4.71,3.28,3.12,4.23,4.5,1.91,6.65,2.21,4.36,2.98,6.51,2.03,4.69,5.12,4.54,7,4.97,2.57,3.46,5.71,5.43,8.6,4.9,4.42,3.71,6.49,5.91,4.67,12.31,2.08,7.02,4.73,4.94,2.93,4.02,2.26,5.27,5.36,6.4,6.78,2.51,3.1,4.2,5.87,7.25,4.03,4.97,4.15,11.35,3.16,3.47,5.75,5.81,1.84,4.01,2.95,7.19,5.24,4.95,4.03,6.17,,,,,,,,,,,,,,,,,,,
February,,6.3,4.09,3.69,4.11,4.71,1.24,1.15,0.71,2.92,0.77,0.47,3.08,5.03,8.48,0.7,1.63,3.5,3.65,2.01,5.26,1.91,1.57,5.14,4.36,2.05,3.13,3.24,3.53,3.38,5.52,6.44,2.93,2.21,4.11,5.58,5.9,0.84,7.56,1.69,4.1,0.42,5.35,8.16,1.18,8.58,4.73,2.32,5.87,0.88,1.29,4.24,0.23,3.99,0.34,8.7,2.81,6.74,2.01,5.65,2.31,5.34,1.77,2.89,1.99,5.69,6.51,2.66,4.96,4.45,7.8,4.68,1.54,2.48,4.63,3.27,2.41,3.97,8.55,0.63,4.41,,,,,,,,,,,,,,,,,,,
March,,6.33,5.22,1.56,3.11,2.87,5.69,2.51,4.61,2.99,4.03,2.73,1.24,1.58,4.18,3.68,6.25,5.25,1.54,2.56,0.96,4.04,2.31,6.06,2.22,3.86,3.4,3.86,4.61,3.75,1.14,3.05,5.24,6.21,5.87,1.23,4.19,3.28,2.2,5.34,3.71,4.04,3.57,2.96,1.76,1.56,2.12,4.86,2.8,0.86,2.85,0.4,3.16,2.99,3.77,2.75,2.86,2.53,1.25,3.2,3.16,4.26,2.95,1.24,0.36,1.54,1.5,8.64,2.44,1.68,2.97,5.82,3.16,2.25,3.12,3.03,2.7,4.31,3.1,2.17,2.22,,,,,,,,,,,,,,,,,,,
April,,2.06,5.24,3.07,1.92,2.71,3.63,1.49,3.6,3.83,1.71,2.57,1.82,0.92,2.52,3.01,2.04,2.81,3.01,2.56,2.34,3.35,2.12,2.41,2.78,3.12,2.01,3.04,3.19,4.5,3.95,2.57,0.95,4.84,2.13,1.84,3.51,1.83,0.99,2.11,5.82,1.53,3.63,3.67,2.88,3.86,2.24,3.66,1.2,1.51,3.06,3.99,4.59,2.09,3.04,5.7,1.78,2.9,0.51,1.7,3.45,2.42,2.47,2.4,3.75,3.05,1.86,4.84,3.4,5.32,4.86,2.42,3.31,3.64,0.71,1.92,3.62,0.51,1.53,4.72,3.08,,,,,,,,,,,,,,,,,,,
May,,2.97,1.8,1.17,2.74,3.57,5.26,2.01,1.56,2.76,4.06,3.24,4.05,2.33,2.38,0.9,0.57,1.5,2.57,3.07,1.79,1.52,3.25,3.74,3.37,0.87,3.98,3.78,3.17,3.1,3.09,1.8,3.86,4,1.8,2.08,2.8,2.33,4.85,2.79,7.27,2.35,1.29,5,5.96,5.63,4.13,1.68,1.95,2.61,1.84,4.16,4.77,3.13,2.98,0.94,1.56,3.09,4.36,1.3,0.86,2.59,5.23,3.27,2.72,3.88,1.99,4.29,1.57,3.23,2.9,4.79,2.85,2.49,3.7,3.79,2.03,1.8,6.26,1.81,2.65,,,,,,,,,,,,,,,,,,,
June,,2.6,5.72,4.01,1.27,4.01,2.37,0.25,3,0.87,4.26,1.81,3.76,2.63,4.32,2.54,4.59,4.09,3.01,1.7,3.75,1.37,2.17,1.5,1.39,2.76,1.86,7.11,2.49,2.99,2.72,4.26,7.28,2.5,2.51,0.66,2.75,2.57,1.97,1.39,2.9,0.22,2.38,1.1,2.87,0.06,2.93,4.38,6.48,1.51,2.13,6.67,0.92,2.06,2.8,4.57,4.71,2.65,5.17,2.99,0.62,0.41,1.45,3.96,3.23,4.33,3.32,3.43,6.07,0.63,1.77,1.34,3.46,3.75,2.57,3.23,5.69,2.5,5.62,4.09,1.54,,,,,,,,,,,,,,,,,,,
July,,5.6,5.92,4.22,6.2,1.88,6.16,2.13,7.53,3.98,3.03,3.4,2.83,4.15,4.07,6.76,2.14,1.49,1.51,1.85,2.46,2.06,3.35,4.65,2.08,2.19,3.09,3.41,5.22,5.22,4.35,0.74,6.53,1.34,3.35,5.35,2.69,2.15,5.56,2.74,8.41,2.62,5.51,4.27,5.2,1.47,3.31,3.2,1.34,2.71,6.38,4.14,3.97,2.63,2.37,2.04,4.51,3.04,4.57,6.57,3.23,1.46,3.69,2.91,4.45,2.61,3.89,2.67,1.54,3.89,4.68,3.71,2.11,5.42,4.49,0.9,6.79,5.28,4.58,3.09,6.49,,,,,,,,,,,,,,,,,,,
August,,5.22,2.55,2.68,1.5,1.97,2.18,2.03,4.43,5.4,6.29,7.51,4.41,3.13,4.69,4.89,2.17,3.68,4.89,1.6,5.32,2.49,4.17,4.76,4.8,6.51,5.32,4.04,3.43,3.59,6.01,2.99,7.73,1.57,2.78,5.91,2.88,7.12,2.6,3.33,1.98,6.28,6.21,5.24,5.02,4.51,4.42,7.59,5.09,3.91,5.89,5.14,1.49,1.21,3.91,1.92,3.26,1.86,6.05,3.61,1.44,5.92,4.47,5.76,3.61,5.63,6.71,0.41,5.08,4.7,7.12,5.19,6.42,5.46,10.12,1.3,10.33,6.31,4.91,1.37,5.08,,,,,,,,,,,,,,,,,,,
September,,3.13,2.29,8.77,3.13,7.18,3.8,5.46,1.35,2.35,2.41,3.55,3.77,3.85,0.72,1.79,6.65,4.18,0.9,6.52,1.29,1.72,2.14,5.62,0.99,2.32,1.18,1.13,3.82,4.03,0.46,3.9,2.3,2.21,2.71,0.72,2.48,2.36,11.51,2.08,1.88,1.86,5.57,5.44,4.92,3.87,3.63,6.01,0.78,1.54,6.13,4.31,5.01,2.23,2.9,7.71,4.83,1.75,2.72,1.6,3.36,0.47,2.82,5.37,7,2.99,7.2,2.92,3.14,1.27,7.87,3.17,5.07,4.68,6.14,2.46,5.81,6.03,4.79,0.31,3.17,,,,,,,,,,,,,,,,,,,
October,,5.03,5.9,6.7,2.95,7.83,7.07,3.21,1.85,5.92,3.05,5.03,8.38,4.49,6.78,4.2,5.32,1.66,5.25,2.97,5.87,2.69,4.79,11.21,1.48,3.63,7.8,6.35,3.04,4.93,4.48,5.26,5.74,2.91,3.05,2.18,9.85,8.43,3.37,2.57,2.87,3.01,1.27,5.98,5.21,6.51,4.3,5.94,6.88,5.27,5.77,2.51,7.11,4.89,5.76,10.49,5.03,2.97,11.51,3.06,4.61,5.28,6.09,2.77,5.24,6.89,1.16,1.6,2.51,5.51,3.13,1.88,5.72,2.68,9.15,3.59,2.63,6.69,4.49,6.19,6.16,,,,,,,,,,,,,,,,,,,
