LOSSIEMOUTH (MORAY GOLF CLUB),,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 22933 70934,Long,-3.29545,Lat,57.721538,Elevation,53,ft,,,,,,,,,,,,
Station no,5681/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1,1.49,1.88,3.62,2.16,2.39,2.96,0.8,1.59,2.37,0.67,2.86,,,,,,
February,,,2.91,1.27,1.95,1.14,2.41,1.45,1.36,0.8,2.7,2.48,1.84,1.17,,,,,,
March,,,0.59,1.61,2.07,0.61,1.5,0.97,1.84,2.81,1.38,0.94,1.13,,,,,,,
April,,,1.51,2.8,1.97,0.77,0.22,0.17,1.01,0.92,1.31,0.51,1.44,,,,,,,
May,,,0.79,2.12,1.73,0.58,1.95,1.78,0.56,1.44,2.13,1.68,2.72,,,,,,,
June,,,2.07,1.46,1.68,1.02,1.92,2.72,1.18,0.63,0.27,0.76,1.54,,,,,,,
July,,,2.75,4.1,0.95,3.72,2.83,3.45,3.64,6.94,2.95,2.56,1.63,,,,,,,
August,,,2.24,3.38,2.58,2.4,2.52,1,1.35,1.22,4.04,2.85,3.52,,,,,,,
September,,2.98,0.88,1.53,3.15,2.89,0.36,3.39,1.16,1.84,1.1,2.27,2.03,,,,,,,
October,,4.34,3.55,3.13,2.77,2.18,2.04,2.81,2.47,2.38,4.37,4.3,2.1,,,,,,,
November,,2.36,1.55,1.13,2.72,1.02,0.57,2.19,2.22,4.16,2.78,1.2,2.58,,,,,,,
December,,1.3,0.56,1.32,2.37,1.55,1.07,1.14,2.26,2.17,1.42,2.52,0.56,,,,,,,
Total,,,20.4,25.34,25.82,21.5,19.55,23.46,22.01,26.11,26.04,24.44,21.76,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5681/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Was a MWR ,,,,,,,,,,,,,,,,,,,,
and probably preceded airfield,,,,,,,,,,,,,,,,,,,,
no Midas,,,,,,,,,,,,,,,,,,,,
