CHOLDERTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU228426,Long,-1.6751837,Lat,51.18218,Elevation,320,ft,,,,,,,,,,,,
Station no,RR7095,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.69,1.36,0.74,3.2,1,4.18,4.74,0.67,4.28,1.32,1.24,,
February,,,,,,,,1.42,1.09,0.46,4.1,1.5,2.7,1.08,5,5.43,5.6,1.19,,
March,,,,,,,,0.63,2.57,4.09,0.83,2.34,4.83,2.46,4.64,1.62,3.72,3.32,,
April,,,,,,,,2.91,2.8,1.59,3.69,1.57,0.08,2.82,1.33,1.09,0.85,2.35,,
May,,,,,,,,2.46,1.94,1.89,1.69,1.17,1.22,2.64,1.74,3.75,1.94,2.42,,
June,,,,,,,,1.22,0.55,3.53,3.18,2.05,4.21,0.76,1.7,1.74,2.51,2.94,,
July,,,,,,,,1.5,1.8,2.94,1.4,0.04,2.59,2.29,3.12,5.7,1.48,2.76,,
August,,,,,,,,1.86,3.1,3.35,2.28,1.98,6.88,0.87,2.05,2.71,5.57,4.99,,
September,,,,,,,,0.41,1.72,3.39,0.14,1.3,1.57,3.49,1.32,2.24,1.98,2.04,,
October,,,,,,,,8.28,1.31,4.64,4.06,2.8,3.66,4.63,2.6,4.32,5.76,4.86,,
November,,,,,,,,2.6,1.13,0.71,3.73,3.43,1.97,3.52,4.55,2.87,5.35,0.72,,
December,,,,,,,,3.28,2.82,4.09,5.35,8.34,4.25,1.9,8.07,7.22,4.89,1.39,,
Total,,,,,,,,27.26,22.19,31.42,33.65,27.52,38.14,31.2,36.79,42.97,40.97,30.22,,
