CHOBHAM-NORTHBOURNE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU974621,Long,-0.60279402,Lat,51.349642,Elevation,93,ft.,,,,,,,,,,,,
Station no,RR8472,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.39,2.5,4.28,3.06,1.26,2.19,4.2,2.5,1.08,,,,,
February,,,,,,,4.41,1.33,1.19,2.43,2,0.95,1.28,1.92,1.58,,,,,
March,,,,,,,1.69,2.49,1.21,0.98,1.75,1.16,1.53,1.7,0.36,,,,,
April,,,,,,,2.28,1.76,2.7,1.48,0.46,3.39,1.12,0.24,1.67,,,,,
May,,,,,,,1.59,1.28,0.63,3.93,0.9,0.29,2.95,1.41,0.83,,,,,
June,,,,,,,2.38,1.54,0.67,1.32,0.51,3.51,2.06,1.35,2.33,,,,,
July,,,,,,,1.35,3.37,2.96,1.27,0.55,2.84,4.1,2.47,1.46,,,,,
August,,,,,,,2.42,1.97,2.52,1.02,1.77,1,1.55,1.81,1.54,,,,,
September,,,,,,0.51,3.59,2.12,2.16,3.79,1.37,3.73,1.44,2.25,2.28,,,,,
October,,,,,,5.85,1.15,1.82,2.24,1.29,2.94,1.19,4.43,2.66,3.28,,,,,
November,,,,,,2.36,1.48,0.54,1.26,2.15,1.58,0.33,3.53,1.82,2.72,,,,,
December,,,,,,1.26,1.78,1.27,4.85,2.56,2.48,1.24,4.14,0.42,1.56,,,,,
Total,,,,,,,27.51,21.99,26.67,25.28,17.57,21.82,32.33,20.55,20.69,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is North Bourne. Altitudes match.,,,,,,,,,,,,,,,,,,,,
