"SKIPTON, THORPE FELL, BARDEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE007597,Long,-1.990804,Lat,54.033285,Elevation,1649,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.8,4.8,4.14,0.92,0.56,0.58,4.16,6.2,4.68,1.8,3.03,1.5,1.2,1.6,3.16,1.97,2.77,1.07,3.37,4.05,2.62,1.97,3.96,5.86,4.77,2.95,2.57,3.97,3.49,1.73,5.27,2.02,3.87,2.07,6.32,1.53,4.45,4.37,2.93,5.28,4.37,3.04,3.37,4.67,4.89,7.63,4.07,4.11,3.03,3.65,4.62,4.66,9.55,1.22,6.73,4.17,5.8,2.92,4.14,2.22,4.15,4.84,8.52,7.54,1.85,4.8,5.05,6.54,7.51,5.5,5.52,5.28,9.31,2.47,3.7,3.01,4.95,2.28,4.17,3.82,6.1,6.64,4.7,4.32,7.84
February,,,,,,,4.9,3.3,1.58,2.24,3.58,4.9,3.63,2.6,2.45,1.08,1.09,1.66,0.7,1.6,0.59,0.45,2.27,5.09,6.17,1.1,1.8,2.78,3.77,2.23,5.05,1.93,1.77,4.21,3.27,1.92,2.87,2.12,3.1,3.09,4.28,5.37,2.48,1.74,2.86,4.46,4.37,1,6.77,1.49,3.87,0.49,4.87,5.08,0.89,4.6,4.72,1.73,4.33,0.93,0.31,5.96,0.5,4.26,0.33,7.63,3.11,6.66,3.2,5.22,2.96,4.33,2.17,4.34,2.76,6.91,6.1,5.75,3.71,3.73,7.6,3.55,1.57,4.21,4.12,3.1,3.29,3.61,10.82,1.35,5.56
March,,,,,,,4.1,2.9,1.95,1.7,3.12,4.67,5.07,0.23,2.9,1.56,3.16,1.31,1.85,1.9,4.81,1.72,0.92,1.27,3.48,3,4.7,4.67,1.68,1.83,0.97,2.82,2.47,5.19,2.23,3.12,2.93,3.48,4.28,4.1,0.83,2.67,5.27,4.87,5.32,1.58,2.83,2.13,1.73,4.53,3.29,3.54,3.19,2.38,1.27,0.9,1.8,3.18,3.1,0.61,1.25,0.37,3.11,,,1.79,3.14,3.41,2.51,2.56,4.03,4.68,3.11,1.98,0.52,2.21,1.37,7.56,2.39,1.91,1.97,3.72,1.97,1.44,3.16,2.26,2.32,5.95,2.66,2.96,2.42
April,,,,,,,3,2.97,2,1.72,2.1,1.35,4.13,2.65,1.41,1.26,1.95,1.44,2.42,1.6,1.2,1.77,1.89,0.41,2.26,2.23,2.3,2.2,3.5,3.16,2.3,2.37,1.79,2.07,3.59,3.27,1.17,2.57,2.76,3.74,2.32,2.14,1.04,3.62,0.97,1.58,2.51,1.87,1.28,2.18,4.6,0.98,3.19,2.81,1.93,3.1,1.43,4.83,0.9,1.83,1.98,,,2.26,2.82,3.8,1.22,3.88,1.13,2.12,3.19,2.07,1.84,2.87,4.17,3.88,2.13,4.93,2.73,3.35,4.73,1.65,2.53,3.42,1.47,2.89,1.98,0.6,1.48,4.24,3.37
May,,,,,,,1.04,3,6.38,1.63,2.27,3.47,1.76,0.5,2.37,,3.58,1.82,0.55,2.16,2.33,2.01,3.67,2.7,2.11,0.53,0.47,2.05,2.58,4.24,1.53,1.44,2.73,3.07,3.84,0.65,5.4,3.77,3.26,2.88,1.97,1.03,2.5,3.53,2.54,1.73,2.67,1.97,2.09,1.63,4.27,1.52,1.07,2.92,5.25,5.34,4.14,1.72,1.13,2.42,1.69,2.71,4.68,,2.89,0.75,1.04,3.14,3.93,0.94,2.17,1.97,3.91,3.78,2.84,4.56,2.51,3.52,1.57,3.61,1.72,2.75,1.37,2.55,3.67,4.14,2.59,1.85,6.74,0.86,2.35
June,,,,,,,2.32,1.17,3.47,6.46,5.92,3.16,5.87,2.7,0.3,2.35,1.16,0,2.09,0.1,4.24,1.23,4.17,3.77,2.46,1.66,3.27,3.94,3.1,1.95,3.79,1.2,1.53,1.87,2.3,2.07,2.03,7.28,5.17,3.1,3,3.2,7.16,2.62,3.15,0.98,3.07,2.67,1.97,1.17,2.39,0.21,2.76,0.88,2.2,0,3.62,3.46,6.09,1.63,2.48,7.41,1.09,3.07,3.02,4.21,4.72,3.04,5.11,4.32,0.61,0.84,1.29,4.84,3.97,5.11,3.16,3.95,4.61,0.65,3.82,0.98,2.87,3.31,4.94,4.3,2.71,2.07,6.3,2.57,2.15
July,,,,,,,3.44,5.62,1.33,6.98,0.12,5.83,7.21,4,6.62,1.3,3.58,1.8,5.11,2.59,3.87,3.98,2.86,5.33,4.4,5.57,3.84,1.94,1.38,2.7,3,1.84,3.21,4.57,1.77,1.52,2.06,2.78,5.25,5.83,3.64,0.91,5.06,1.02,2.84,4.87,3.45,1.86,5.78,3.12,6.79,2.63,6.17,4.7,4.73,2.04,4.34,6.05,2.38,3.16,4.64,4.93,6.61,3.44,2.93,2.06,5.65,3.2,5.06,7.69,4.92,1.85,5.57,2.84,4.64,3.13,5.26,3.85,1.27,3.03,3.95,2.33,2.14,6.68,6.97,1.43,7.39,4.95,5.57,3.11,11.16
August,,,,,,,3.22,6.63,7.24,7.12,,5.35,4.43,3.62,2.52,1.35,1.7,2.02,4.79,3.4,6.76,6.19,7.11,4.92,4.39,3.54,2.12,5.9,5.73,2.54,5.98,3.04,2.74,4.51,3.98,4.73,4.7,3.97,3.67,3.63,6.3,2.87,5.23,2.4,3.34,3.6,4.53,8.03,4.65,3.38,3.04,5.73,3.34,6.55,6.13,5.68,5.16,7.78,6.79,5.77,5.77,4.37,1.03,1.63,4.26,2.27,2.94,2.15,5.49,2.09,2.9,7.34,5.38,6.96,2.72,4.93,8.67,0.32,4.53,3.89,7.01,4.23,6.47,6.4,9.41,1.34,12.15,8.37,5.41,0.65,5.13
September,,,,,,,4.91,3,4.59,1.75,4.75,3.45,3.3,5.45,2.62,3.73,1.95,5.1,0.8,3.37,2.32,2.43,4.06,5.03,0.46,2.2,6.08,4.96,1.3,5.24,1.75,2.67,1.87,4.1,1.63,3.72,1.12,0.87,4.73,3.84,0.38,4.13,2.23,1.74,2.48,1.02,2.65,1.97,10.76,1.83,1.59,2.09,4.63,5.93,4.99,3.64,3.56,5.92,0.75,2.05,4.16,3.09,6.72,1.44,4.06,8.58,4.12,2.36,2.11,1.77,5.76,1.02,3.75,4.15,7.87,4.21,8.24,2.85,3.31,0.75,6.37,2.58,4.62,5.17,7.3,3.67,5.76,7.09,5.81,0.42,3.76
October,,,,,,,3.2,4.71,4.02,2.22,1.36,3.9,4.75,3.6,2.4,3.4,5.55,2,0.9,4.12,2.44,4.07,5.62,4.73,4.83,5.63,3.87,2.24,5.78,3.03,5.64,2.88,3.79,10.23,1.77,3.04,6.27,6.23,2.8,4.46,4.23,3.53,5.17,2,2.57,1.23,9.97,5.48,3.72,3.37,2.98,3.21,0.88,7.03,5.28,5.25,4.82,5.47,5.52,6.57,5.43,2.45,5.63,3.84,6.02,11.02,4.26,2.45,12.22,3.26,4.93,6.59,5.94,4.1,4.78,7.76,2,1.23,2.75,5.45,2.83,0.79,4.38,2.35,11.23,3.56,3.06,7.7,4.94,5.15,6.43
