"MELVICH HOTEL",,,,,,,,,,,,
Grid ref,NC877652,Long,-3.931936,Lat,58.560299,,,,,,,
Station no,5803/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.66,4.88,2.87,,,,,,,,,
February,3.97,2.56,2.65,,,,,,,,,
March,3.50,2.64,1.35,,,,,,,,,
April,3.27,0.79,2.66,,,,,,,,,
May,0.66,2.01,2.70,,,,,,,,,
June,1.33,2.12,1.71,,,,,,,,,
July,3.37,2.71,2.87,,,,,,,,,
August,3.74,3.12,2.13,,,,,,,,,
September,1.71,3.74,2.07,,,,,,,,,
October,2.11,3.42,1.33,,,,,,,,,
November,6.21,5.62,4.58,,,,,,,,,
December,4.44,3.58,3.14,,,,,,,,,
Total,37.97,37.19,30.06,,,,,,,,,
Calc annual,37.97,37.19,30.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
