"MELVICH",,,,,,,,,,,,
Grid ref,NC891648,Long,-3.907693,Lat,58.557068,,,,,,,
Station no,5803/1,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.27,3.10,5.01,2.97,3.88,,
February,,,,,,4.07,4.76,2.55,4.16,1.59,,
March,,,,,,3.64,2.11,2.15,3.46,2.35,,
April,,,,,,2.98,2.46,1.88,2.28,2.47,,
May,,,,,,1.11,3.34,1.85,1.92,1.61,,
June,,,,,,0.69,0.94,3.93,2.05,2.43,,
July,,,,,0.37,1.50,2.33,1.62,1.77,2.19,,
August,,,,,3.52,4.31,3.90,3.88,2.09,4.04,,
September,,,,,2.99,3.57,2.28,1.09,4.14,1.93,,
October,,,,,3.62,6.36,2.53,1.99,1.03,4.32,,
November,,,,,4.36,4.59,5.98,1.52,3.72,7.03,,
December,,,,,5.44,2.16,4.40,2.79,1.85,2.59,,
Total,,,,,,38.25,38.13,30.26,31.44,36.43,,
Calc annual,0.00,0.00,0.00,0.00,20.30,38.25,38.13,30.26,31.44,36.43,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
