MELVICH THE COTTAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 878 649,Long,-3.929573,Lat,58.557458,Elevation,200,ft,,,,,,,,,,,,,
Station no,5803/1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.97,5.03,2.4,5,5.97,4.71,2.07,2.65,5.07,4.93,4.82,5.67,5.01,2.58
February,,,,,,,,1.74,3.43,0.76,2.2,4.63,0.71,4.79,2.82,3.8,1.61,4.35,2.56,2.51,1.05
March,,,,,,,,1.91,1.92,1.05,3.05,1.41,3.14,1.6,3.87,3.16,1.32,2.31,3.44,2.25,3.66
April,,,,,,,,3.61,1.38,2.55,1.2,2.49,2.58,1.59,6.29,1.88,1.52,0.44,1.33,1.55,2.14
May,,,,,,,,2.62,1.43,2.57,3.14,4.38,3.43,0.98,2.75,1.2,1.26,1.07,3.05,1.16,1.23
June,,,,,,,1.81,3.35,4.27,5.2,2.5,2.93,0.49,1.7,1.86,2.32,0.96,2.96,3.61,1.82,2.09
July,,,,,,,1.65,1.7,2.85,1.9,2.55,4.55,3.49,4.39,4.91,2.04,5.12,3.36,4.93,5.33,6.8
August,,,,,,,3.05,1.58,2.51,7.41,12.5,1.04,2.72,3.99,5.93,4.31,3.21,2.14,2.81,2.28,1.33
September,,,,,,,3.15,4.76,2.82,8.14,3.44,1.13,4.99,0.6,1.73,6.06,2.08,2.12,2.59,1.61,2.38
October,,,,,,,6.71,5.62,4.29,8.26,5.79,3.88,4.76,3.87,7.38,6.86,4.16,2.03,6.53,2.73,
November,,,,,,,2.67,5.11,5.74,4.95,9.88,1.61,3.73,2.95,2.59,4.09,3.05,2.01,4.54,6.71,
December,,,,,,,4.2,0.94,6.58,12.69,4.11,4.21,1.95,0.97,3.16,4.13,3.41,1.81,2.96,4.64,
Total,,,,,,,34.67,35.91,42.25,57.88,55.36,38.23,36.7,29.5,45.94,44.92,32.63,29.42,44.02,37.6,
