MELVICH SCHOOLHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 875 656,Long,-3.934281,Lat,58.564152,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5803/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,3.27,3.1,5.01,2.97,3.88,3.45,2.59,2.8,1.54,3.34,2.52,5.29,4.45,3.35,2.39,4.8,4.54,4.06,4.38,2.47,3.27,1.78,,,,
February,,,,,,4.07,4.76,2.55,4.16,1.59,2.21,3.78,2.67,2.11,2.52,3.1,3,1.07,2.94,1.41,3.1,0.95,2.2,3.24,3.78,3.88,1.89,,,,
March,,,,,,3.64,2.11,2.15,3.46,2.35,2.1,3.44,4.97,3.65,3.98,3.64,2.16,1.55,1.29,3.46,2.4,1.88,3.07,0.61,2.4,3.54,3.42,,,,
April,,,,,,2.98,2.46,1.88,2.28,2.47,4.83,2.66,3.93,1.21,1.57,2.34,2.33,2.73,1.3,2.92,2.34,1.04,3.77,2.2,2.39,2.08,1.72,,,,
May,,,,,,1.11,3.34,1.85,1.92,1.61,2.34,1.53,2.82,2.21,3.31,1.25,3.06,0.99,1.43,0.31,2.97,2.29,2.16,3.95,2.36,2.38,2.62,,,,
June,,,,,,0.69,0.94,3.93,2.05,2.43,1.09,2.79,2.11,1.89,2.03,0.53,4.01,3.09,2.95,3.19,1.25,1.62,2.3,3.13,2.08,1.03,,,,,
July,,,,,0.37,1.5,2.33,1.62,1.77,2.19,2.93,3.5,2,1.21,5.22,3.7,1.98,1.74,5.93,0.69,1.79,2.15,3.17,4.26,3.29,2.75,,,,,
August,,,,,3.52,4.31,3.9,3.88,2.09,4.04,5.94,1.89,5.22,0.99,3.12,2.23,1.45,1.97,4.39,4.47,1.14,2.68,3,5.68,4.44,2.32,,,,,
September,,,,,2.99,3.57,2.28,1.09,4.14,1.93,1.72,3.64,1.73,2.36,3.97,5.84,1.79,4.3,4.18,2.67,3.24,3.98,2.62,3.96,5.8,5.19,,,,,
October,,,,,3.62,6.36,2.53,1.99,1.03,4.32,2.67,2.88,3.54,1.67,2.31,2.06,4,6.9,1.95,2.51,0.55,3.92,1.33,5.57,1.99,4.07,,,,,
November,,,,,4.36,4.59,5.98,1.52,3.72,7.03,6.29,4.36,4.99,4.91,5.29,4.34,4.68,7.66,3.1,6.41,3.93,2.28,3.14,5.47,2.13,3.22,,,,,
December,,,,,5.44,2.16,4.4,2.79,1.85,2.59,3.89,3.8,4.18,5.8,4.81,7.51,4.02,3.26,4.7,3.87,1.58,6.94,3.01,4.83,2.21,4.66,,,,,
Total,,,,,,38.25,38.13,30.26,31.44,36.43,39.46,36.86,40.96,29.55,41.47,39.06,37.77,39.71,37.51,34.3,29.09,34.27,33.83,47.28,35.34,38.39,,,,,
