"MELVICH SCHOOL",,,,,,,,,,,,
Grid ref,NC877650,Long,-3.931837,Lat,58.558504,,,,,,,
Station no,5803/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,3.23,2.54,3.62,3.87,4.42,6.93,3.08,,
February,,,,3.09,2.47,1.87,2.16,3.70,0.80,2.55,,
March,,,,2.36,1.82,1.22,3.67,2.13,1.41,1.04,,
April,,,,1.24,1.70,1.90,1.46,1.80,2.40,1.83,,
May,,,,2.80,3.23,1.68,1.29,4.76,2.61,0.81,,
June,,,,3.15,1.24,2.78,2.97,1.17,1.86,2.87,,
July,,,,3.53,0.83,7.42,4.47,2.27,4.04,2.00,,
August,,,,2.67,0.35,4.34,3.44,4.06,2.77,5.50,,
September,,,,4.09,3.75,1.70,3.80,1.65,1.31,1.11,,
October,,,,6.79,4.38,4.02,4.04,4.48,5.16,3.04,,
November,,,,4.07,1.99,4.40,3.35,1.57,5.82,1.93,,
December,,,,6.34,5.07,4.66,5.31,3.70,4.46,4.48,,
Total,,,,43.36,29.37,39.61,39.83,35.71,39.57,30.24,,
Calc annual,0.00,0.00,0.00,43.36,29.37,39.61,39.83,35.71,39.57,30.24,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
