RESCOBIE PITSCANDLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 48156 52353,Long,-2.847339,Lat,56.66008,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.09,3.34,3.9,0.69,1.78,1.25,3.6,3.91,1.43,0.9,3.35,1.45,0.76,2.5,1.67,,,1.59,0.87,4.55,4.63,,,,,,
February,,,,3.57,5.61,-999,0.75,1.09,1,2.44,3.9,1.3,1.01,3.28,4.3,0.82,0.85,,,,2.21,0.65,,1.44,,,,,,
March,,,,0.6,1.35,-999,1.52,5.15,0.67,1.33,1.61,1.67,0.94,3.54,2.04,3.66,0.84,1.26,,,1.75,0.79,,3.94,,,,,,
April,,,,0.97,1.16,1.09,0.65,1.48,5.97,3.01,1.52,2.66,3.02,1.67,2.27,1.97,0.88,2.62,,,1.98,0.81,0.05,2.94,,,,,,
May,,,,0.99,3.9,0.63,0.92,1.71,1.62,3.22,1.8,2.02,1.46,1.54,1.7,2.03,5.05,3.87,,,1.25,1.14,1.35,2.9,,,,,,
June,,,3.56,2.31,2.62,1.78,2.48,4.11,1.68,-999,2.07,1.44,1.6,1.19,0.73,1.06,0.74,4.52,,,1.14,0.59,2,,,,,,,
July,,,2.12,3.25,3.4,4.15,4.1,1.28,-999,-999,2.95,2.08,2.46,,0.9,1.81,0.9,2.51,,,2.57,1.26,,0.26,,,,,,
August,,,4.14,2.97,4.44,4.7,2.25,3.82,-999,1.05,3.4,4.5,2.7,4.58,5.1,3.6,4.16,3.12,,,3.93,1.25,3,1.17,,,,,,
September,,,1.49,1.81,0.63,0.9,4.15,1.23,1.78,-999,1.61,1.85,1.37,3.16,2,1.18,0.7,0.98,,,0.8,0.7,1.7,2.33,,,,,,
October,,,4.83,2.19,2.3,1.59,3.06,2.13,6.15,-999,3.14,1.88,1.11,6.1,0.84,1.32,3.34,4.24,,,1.25,1.9,3.01,1.21,,,,,,
November,,,2.34,2.12,3.5,3.95,1.06,1.83,4.85,2.7,3.38,1.32,4.97,0.83,0.24,7.17,3.3,2.41,,,3.04,3.02,,1.54,,,,,,
December,,,0.59,2.22,1.91,4.25,7.2,4.26,2,3.88,3.75,2.9,3.92,3.38,1.8,1.25,1.8,3.92,,,3.85,5.32,,0.55,,,,,,
Total,,,,25.09,34.16,30.96,28.83,29.87,30.39,28.74,33.04,25.05,25.46,,23.37,26.63,25.06,,,,25.36,18.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895 FM Bracketed -999 to keep Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898 JA Bracketed -999 to keep Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 JA SO Bracketed -999 to keep Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 Printed BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1903 Jul +T deleted 2"" short",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 Feb + T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Deleted NP Bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Deleted Short NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 M D Deletyed bracketed figures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
