LANCHESTER (MALTON COLLIERY),,,,,,,,,,,,,,,,,,,,
Grid ref,NZ180460,Long,-1.721476,Lat,54.808546,Elevation,396,ft,,,,,,,,,,,,
Station no,3545/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.42,9.84,0.7,1.4,,,,,,,,,,
February,,,,,,,4.58,1.48,0.86,2.9,,,,,,,,,,
March,,,,,,,5.46,0.93,1.23,0.89,,,,,,,,,,
April,,,,,,,5.16,1.65,1.5,1.86,,,,,,,,,,
May,,,,,,,2.26,2.36,0.6,1.72,4.05,,,,,,,,,
June,,,,,,,2.6,4.49,0.8,0.73,1.37,,,,,,,,,
July,,,,,,,2.25,1.12,2.42,3.84,1.06,,,,,,,,,
August,,,,,,,0.45,4.55,2.57,,5.05,,,,,,,,,
September,,,,,,,1.6,3.13,1.35,,1.08,,,,,,,,,
October,,,,,,,0.9,1.63,2.5,,1.09,,,,,,,,,
November,,,,,,,2.33,1.6,4.2,,5.9,,,,,,,,,
December,,,,,,,2.07,2.43,3.15,,,,,,,,,,,
Total,,,,,,,32.08,35.21,21.88,,,,,,,,,,,
