"ROYBRIDGE",,,,,,,,,,,,
Grid ref,NN278753,Long,-4.824346,Lat,56.837156,,,,,,,
Station no,5730,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.85,3.85,5.70,7.24,6.40,6.50,21.95,11.50,4.50,9.10,,
February,3.50,1.45,6.25,2.74,6.05,5.60,10.20,6.03,6.45,8.20,,
March,3.90,6.30,2.75,5.00,1.80,5.10,9.35,3.90,10.25,2.30,,
April,7.15,4.56,4.40,3.85,5.01,4.45,4.20,5.50,7.80,10.75,,
May,0.47,3.26,7.22,4.16,5.40,9.45,2.60,9.15,2.20,4.50,,
June,4.40,2.78,1.93,4.12,4.90,4.13,4.20,3.75,6.10,5.45,,
July,4.85,3.35,9.04,2.82,0.75,9.25,8.60,5.50,8.45,4.55,,
August,5.70,2.99,7.14,2.20,3.18,7.10,7.86,7.00,6.60,7.40,,
September,5.84,3.75,8.07,9.60,10.10,10.15,5.75,7.90,2.50,5.90,,
October,3.84,,6.30,11.40,10.30,9.50,12.75,11.85,12.50,3.70,,
November,8.20,,12.15,15.20,4.02,7.68,3.35,2.90,12.20,9.75,,
December,12.60,6.30,11.30,16.77,16.95,21.00,17.35,9.45,15.55,9.05,,
Total,71.30,,82.25,85.10,74.86,99.91,108.16,84.43,95.10,80.65,,
Calc annual,71.30,38.59,82.25,85.10,74.86,99.91,108.16,84.43,95.10,80.65,,
Difference,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
