TAUNTON-EAST-LYNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST333288,Long,-2.95247,Lat,51.05548,Elevation,43,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2077/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.31,2.8,2.86,5.33,1.58,2.38,2.38,3.16,4.58,0.63,0.55,2.45,2.74,0.47,2.38,3.85,3.33,2.07,2.03,3.05,3.3
February,,,,,,,,,,1.96,2.93,0.29,1.3,0.73,1.37,2.1,1.23,0.95,1.12,4.44,3.66,0.39,1.12,2.06,2.41,0.15,3.94,3.19,0.28,2.97
March,,,,,,,,,,2.12,3.38,2.05,1.1,0.19,0.52,0.81,5.32,1.01,1.17,0.63,3.53,2.25,0.53,3.61,0.97,0.52,1.74,0.53,3.52,1.84
April,,,,,,,,,,1.74,2.68,0.79,0.79,1.29,0.76,3.31,1.73,1.96,1.4,2.13,3.37,1.93,2.49,0.15,0.85,1.68,0.08,0.5,2.53,2.31
May,,,,,,,,,,2.41,1.49,4.89,2.18,2.58,4.61,5.34,2.32,3.6,2.06,1.86,2.94,3.12,1.68,1.57,3.96,0.49,1.61,1.81,0.95,1.1
June,,,,,,,,,,0.68,1.75,0.7,1.53,2.11,2.42,2.27,1.69,1.27,0.41,1.52,0.48,3.02,2.04,2.47,2.42,1,2.16,3.04,0.69,0.97
July,,,,,,,,,,2.46,2.03,1.13,3.01,1.63,2.4,1.54,1.59,2.33,1.05,4.08,4.21,0.3,2.27,2.67,0.84,2.82,2.98,2.01,1.34,3.49
August,,,,,,,,,,0,3.34,4.33,2.12,2.47,1.88,3.84,1.13,4.68,1.09,3.99,4.21,3.9,1.96,3.81,0.83,2.64,3.06,2.7,1.14,3.35
September,,,,,,,,,,1.56,1.18,1.77,3.49,2.23,2.45,4.17,1.25,1.13,3.16,3.49,2.76,2.94,2.55,2.64,1.21,4.64,3.06,3.95,0.09,3.32
October,,,,,,,,,,3.38,1.58,2.68,3.08,3.69,3.41,0.98,0.73,3.31,5.63,1.75,1.24,3.17,2.32,1.96,1.5,1.65,2.05,1.9,3.23,9.71
November,,,,,,,,,,5.89,2.29,1.21,2.44,4.78,1.2,4.28,2.03,1.48,4.17,5.66,7.02,4.61,1.75,5.66,4.04,0.71,2.29,2.59,4.9,2.92
December,,,,,,,,,1.81,1.3,1.28,3.44,2.29,3.1,4.33,3.07,2.04,4.3,1.28,2.17,2.34,2.64,0.55,2.92,5.08,3.57,2.54,3.21,5.73,3.3
Total,,,,,,,,,,25.81,26.73,26.14,28.66,26.38,27.73,34.09,24.22,30.6,23.17,32.27,38.21,31.01,19.73,31.9,27.96,23.2,27.58,27.46,27.45,38.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Nov Gauge moved 120 yrds E ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Location info matches post 1960 NGR not NGR on sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as EAST LYNG SRC_ID 9235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
