"HOLLESLEY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TM368439,Long,1.451647,Lat,52.042883,,,,,,,
Station no,1352/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.89,2.76,0.52,1.92,1.63,3.34,,,1.96,-999.00,,
February,3.57,0.98,1.07,1.75,1.98,1.36,,,0.13,-999.00,,
March,2.70,2.23,0.23,1.67,1.65,0.74,,,1.02,-999.00,,
April,2.47,0.62,1.92,0.33,0.10,0.83,,,1.50,-999.00,,
May,1.96,1.53,1.42,1.08,1.87,0.71,,,0.22,-999.00,,
June,1.00,1.06,2.88,1.28,1.43,1.30,,,1.23,-999.00,,
July,1.92,1.19,2.48,2.33,0.09,1.80,,,1.78,-999.00,,
August,3.44,2.87,2.21,4.37,2.12,,,,1.41,-999.00,,
September,1.79,4.36,1.53,1.23,0.19,,,,,-999.00,,
October,0.81,1.72,2.13,1.05,3.94,,,,2.01,-999.00,,
November,3.05,4.16,0.98,3.34,0.56,,,,2.76,-999.00,,
December,1.66,2.63,1.05,1.87,1.42,,,,3.24,-999.00,,
Total,26.26,26.11,18.42,22.22,16.98,,,,17.26,33.53,,
Calc annual,26.26,26.11,18.42,22.22,16.98,10.08,0.00,0.00,17.26,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,0.00,33.53,,
