CHORLEY FILTER BEDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD604171,Long,-2.59915,Lat,53.6487,Elevation,430,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3005/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.48,2.13,4.34,5.43,5.53,3.53,4.83,3.8,9.5,2.53,3.07,4.67,4.8,2.02,3.87,2.8,5.63,2.93,4.3,3.07,6.22
February,,,,,,,,,,2.36,5.4,2.06,2.47,2,4.83,5.37,1.5,2.27,2.33,5.2,3.67,1.4,1.5,3.6,2.43,0.77,3.33,7.03,0.53,3.73
March,,,,,,,,,,2.96,3.27,2.8,1.33,1.4,1.7,0.9,5.67,1.77,2.77,1.97,5.07,2.37,1.92,2.83,2,1.6,3.53,2.03,2.23,2.68
April,,,,,,,,,,2.45,1.86,2.07,2.47,2.33,2.37,1.3,4.03,2.1,3.6,2.93,2.77,3.97,3.4,1.03,2.5,2.73,0.7,1.52,3.07,2.4
May,,,,,,,,,,1.36,2.2,3.77,3.27,2.7,3.47,1.8,2.93,2.33,3.55,2.7,2.87,2.37,2.43,3.23,3.42,1.58,2.17,4.73,2.28,2.35
June,,,,,,,,,,0.93,0.53,0.87,3.57,2.67,4.5,2.87,2.23,5.33,0.92,2.83,1.07,3.38,2.7,4,3.8,2.4,2.6,4.53,2.23,1.37
July,,,,,,,,,,5.53,2.4,4.6,3.53,3.97,3.6,4.3,3.43,3.1,3.47,4.43,2.83,2.9,4.33,4.47,1.07,6.28,6.37,3.77,4.63,7.1
August,,,,,,,,,,2.53,5.84,4.37,6.76,3.17,2.23,7.43,0.23,5.37,2.8,7.4,4.63,4.83,5.53,6.37,1.27,12.7,6.28,4.45,0.8,5.07
September,,,,,,,,,,4.16,1.36,3.5,5.57,7.03,2.63,7.8,4.57,2.93,2,7.83,3.55,4.83,4.63,5.27,4.63,3.93,7.38,5.1,0.43,3.42
October,,,,,,,,,,4.6,5.03,6.53,4.4,5.03,5.8,1.23,0.67,3.07,4.67,3.43,1.03,5.37,2.5,8.73,2.5,2.97,6.17,3.83,4.63,3.7
November,,,,,,,,,,7.2,2.57,1.1,4.06,7.77,0.4,6.13,4.93,2.47,5.7,6.73,9.1,2.9,5.9,7.77,2.65,1.3,2.13,2.05,5.73,7.53
December,,,,,,,,,,4.6,2.4,4.57,2.57,4.1,3.07,4.83,3.8,3.93,5.53,3.73,8.4,3.9,2.1,5.5,5.2,4.4,4.73,3.77,8.83,4.67
Total,,,,,,,,,,41.16,34.99,40.58,45.43,47.7,38.13,48.79,37.79,44.17,39.87,52.25,49.66,43.02,38.96,56.67,34.27,46.29,48.32,47.11,38.46,50.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
