INAGH MOUNT CALLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IR1654877375,Long,-9.239333,Lat,52.841111,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.94,3.54,5.66,6.99,8.21,5.24,6.69,6.19,7.95,6.29,9.25,3.93,7.39,6.4,6.36,3.46,4.72,8.05,5.16,9.71,6.65,2.92,4.4,7.52,8.68,8.81,8.46,7.17,5.87,6.58,8.4,10.72,9.46,3,8.4,6.51,7,6.48,8.21,3.02,6.99,10.87,10.48,7.08,3.69
February,,,,,,,2.96,5.2,7.53,5.52,3.72,1.11,3.25,6.4,7.67,3.72,6.32,5.08,6.11,3.46,8.64,4.68,3.15,2.99,9.97,7.6,8.61,2.28,6.08,2.72,6.14,2.73,7.77,10.65,2.5,10.26,5.55,3.71,7.65,4.68,0.61,7.25,0.1,3.9,0.73,6.66,4.28,9.87,2.91,5.55,7.07
March,,,,,,,9.64,7.27,2.09,3.2,1.76,5.09,5.56,9.87,4.45,7.78,5.09,3.97,6.54,3.94,3.57,3.68,8.33,9.05,9.74,2.3,3.11,4.33,3.25,4.28,6.17,6.59,3.28,4.49,2.83,1.53,2.57,6.15,4.69,1.54,4.8,4.36,2.58,4.15,5.75,3.94,3.53,3.16,5.48,4.13,5.08
April,,,,,,,2.14,7.89,3.57,5.93,4.39,4.4,3.6,3.44,,4.21,2.87,5.45,2.28,6.52,4.93,3.35,2.67,5.14,3.02,4.53,6.65,2.64,1.64,2.98,7.18,1.77,4.4,6.02,3.12,5.36,4.01,3.12,4.9,1.23,3.09,3,4.19,2.35,2.33,5.14,4.42,4.33,0.55,2.7,5.17
May,,,,,,,0.97,3.55,5.56,4.23,3.18,2.46,3.54,4.09,3.72,1.55,4.49,4.6,5.85,2.97,4.68,3.68,2.06,5.82,3.71,1.47,4.49,3,3.15,4.54,6.69,4.11,3.95,2.8,3.79,7.5,4.4,2.95,1.51,3.14,3.07,4.41,2.98,6.03,4.01,1.73,2.12,2.52,5.03,1.54,3.16
June,,,,,,,3.29,7.34,4.38,2.56,6.6,3.78,3.69,1.44,2.72,2.08,3.06,7.24,2.81,2.73,3.64,3.74,8.6,5.69,2.55,1.97,4.1,3.98,4.05,3.67,2.54,0.81,4.56,2.5,5.54,0.34,6.33,7.54,5.4,2.4,4.05,5.48,2.35,2.96,3.1,6.01,5.4,2.74,8.31,3.28,2.17
July,,,,,,,6.74,4.7,2.39,3.33,4.17,1.78,2.59,5.27,4.89,3.84,4.75,5.29,4.7,5.71,7.49,3.59,6.31,2.76,5.29,8.15,2.88,2.6,8.07,3.57,6.95,5.55,8.13,7.29,6.69,6.3,3.64,3.53,5.42,7.51,5.53,5.11,6.71,5.78,5.26,3.29,12.05,10.85,8.86,7.47,6.55
August,,,,,,,5.98,9.73,9.5,4.34,9.99,8.23,4.05,8.43,5.02,5.18,5.66,7.46,7.37,2.51,6.96,3.51,6.31,4.62,7.07,4.6,4.72,11.78,6.19,4.92,3.82,8.66,5.3,10.65,8.97,3.38,5,6.47,5.78,8.14,7.22,3.2,2.99,4.05,7.07,5.69,4.27,4.76,8.3,3.08,2.31
September,,,,,,,9.27,5.1,3.93,6.08,4.12,7.38,1.98,7.82,5.31,4.71,2.16,3.8,8.52,5.33,1.55,4.78,1.22,6.08,4.96,2.75,5.71,4.96,11.67,7.23,6.69,3.54,6.81,7.76,8.27,5.08,5.85,8.93,5.37,2.11,4.67,3.8,5.62,1.5,7.75,8.7,5.59,10.49,6.53,2.07,6.86
October,,,,,,,5.16,3.67,6.98,3.47,8.01,7.25,3.56,8.65,5.29,3.36,8.41,11.48,2.97,8.12,2.81,5.32,5.29,7.34,3.77,5.38,13.72,10.36,8.69,1.52,3.69,6.19,1.88,7.91,7.3,6.07,5.7,4.23,11.11,9.8,10.73,4.39,6.42,3.49,8.35,9.22,5.81,1.91,12.45,5.34,8.64
